référence;id entrepot;stock
EN-AMP-12A;1;5
EN-B22-10W-BF;1;5
EN-B22-10W-BN;1;5
EN-B22-5W-BF;1;5
EN-B22-5W-BN;1;10
EN-B22-7W-BF;1;10
EN-B22-7W-BN;1;10
EN-BARRESOL;1;4
EN-BU-10W-BF;1;71
EN-BU-10W-BN;1;34
EN-BU3-13W-BN;1;4
EN-BU3-6W-BN;1;42
EN-BU3-9W-BC;1;19
EN-BU3-9W-BN;1;22
EN-BU-5W-BF;1;69
EN-BU-5W-BN;1;65
EN-BU-7W-BF;1;57
EN-BU-7W-BN;1;61
EN-CL-12W-BC;1;6
EN-CL-12W-BN;1;10
EN-CL-7W-BC;1;10
EN-CL-7W-BN;1;5
EN-CONDO-12MF;1;150
EN-CTR-TL-12A;1;21
EN-DL-15W-BN;1;5
EN-DLRR-COB-35W-BN;1;2
EN-DR-100W;1;49
EN-DR-150W;1;46
EN-DR-18W;1;20
EN-DR-200W;1;2
EN-DR-30W;1;24
EN-DR-40W;1;1
EN-DR-60W;1;14
EN-DR-9W;1;26
EN-FA3-6W-BC;1;45
EN-FA-4W-BC;1;5
EN-FA-4W-BN;1;24
EN-FL-10W-RGB;1;10
EN-FL-20W-RGB;1;11
EN-FL-30W-RGB;1;10
EN-FL-COB-10W-BF;1;10
EN-FL-COB-10W-DET;1;10
EN-FL-COB-20W-BF;1;22
EN-FL-COB-20W-DET;1;15
EN-FL-COB-30W-BF;1;24
EN-FL-COB-30W-DET;1;9
EN-FL-COB-50W-BF;1;4
EN-FL-COB-50W-BN;1;1
EN-GB-13W-BC;1;6
EN-GB-13W-BN;1;8
EN-GU10-5W-BC;1;210
EN-GU10-5W-BC-L;1;68
EN-GU10-5W-BF;1;280
EN-GU10-5W-BF-L;1;76
EN-GU10-5W-BN;1;207
EN-GU10-5W-BN-L;1;69
EN-GU10-7W-BC;1;50
EN-GU10-7W-BC-L;1;50
EN-GU10-7W-BF;1;52
EN-GU10-7W-BF-L;1;50
EN-GU10-7W-BN;1;51
EN-GU10-7W-BN-L;1;36
EN-GU10-BASE;1;400
EN-MR16-5W-BC;1;13
EN-MR16-5W-BC-L;1;8
EN-MR16-5W-BF;1;77
EN-MR16-5W-BF-L;1;21
EN-MR16-5W-BN;1;140
EN-MR16-5W-BN-L;1;17
EN-MUS;1;2
EN-PA-12030-45W-BN;1;1
EN-PA-6060-42W-BN;1;18
EN-PA-DIM;1;1
EN-PA-FIX-SAIL;1;8
EN-PA-FIX-SEC;1;10
EN-PA-FIX-SUSP;1;10
EN-PAR38-BN;1;3
EN-R7S-10W-BN;1;3
EN-R7S-13W-BN;1;4
EN-R7S-15W-BN;1;4
EN-R7S-8W-BN;1;6
EN-RD-5050-72;1;9
EN-ST30-E;1;2
EN-ST-5050-5M-BC;1;79
EN-ST-5050-5M-E-BF;1;30
EN-ST-5050-5M-E-BN;1;24
EN-ST-5050-5M-SE-BF;1;3
EN-ST60-BN;1;1
EN-ST-DIM;1;7
EN-STRGB-5050-5M-SE;1;4
EN-STRGB-E;1;11
EN-T8-120-18W-DET;1;1
