référence;id entrepot;stock
EN-AMP-12A;1;5
EN-B22-10W-BF;1;13
EN-B22-10W-BN;1;8
EN-B22-5W-BF;1;10
EN-B22-5W-BN;1;5
EN-B22-7W-BF;1;11
EN-B22-7W-BN;1;1
EN-BES-120-48W;1;2
EN-BES-150-60W;1;2
EN-BU-10W-BF;1;53
EN-BU-10W-BN;1;31
EN-BU3-13W-BN;1;3
EN-BU3-6W-BN;1;4
EN-BU3-9W-BC;1;19
EN-BU3-9W-BN;1;1
EN-BU-5W-BF;1;65
EN-BU-5W-BN;1;55
EN-BU-7W-BF;1;46
EN-BU-7W-BN;1;58
EN-CTR-TL-12A;1;19
EN-DR-100W;1;41
EN-DR-150W;1;43
EN-DR-18W;1;15
EN-DR-200W;1;2
EN-DR-30W;1;18
EN-DR-40W;1;0
EN-DR-60W;1;10
EN-DR-9W;1;16
EN-FA3-6W-BC;1;25
EN-FA-4W-BC;1;7
EN-FA-4W-BN;1;20
EN-FL-10W-RGB;1;10
EN-FL-20W-RGB;1;11
EN-FL-30W-RGB;1;10
EN-FL-COB-10W-BF;1;9
EN-FL-COB-20W-BF;1;12
EN-FL-COB-30W-BF;1;21
EN-FL-COB-50W-BF;1;2
EN-GB-13W-BN;1;7
EN-GU10-5W-BC;1;147
EN-GU10-5W-BC-L;1;68
EN-GU10-5W-BF;1;79
EN-GU10-5W-BF-L;1;76
EN-GU10-5W-BN;1;53
EN-GU10-5W-BN-L;1;69
EN-GU10-7W-BC;1;31
EN-GU10-7W-BC-L;1;40
EN-GU10-7W-BF;1;42
EN-GU10-7W-BF-L;1;50
EN-GU10-7W-BN;1;41
EN-GU10-7W-BN-L;1;35
EN-GU10-BASE;1;0
EN-MR16-5W-BC;1;8
EN-MR16-5W-BC-L;1;8
EN-MR16-5W-BF;1;56
EN-MR16-5W-BF-L;1;21
EN-MR16-5W-BN;1;124
EN-MR16-5W-BN-L;1;17
EN-MUS;1;1
EN-PA-6060-42W-BN;1;16
EN-R7S-10W-BN;1;2
EN-R7S-5W-BF;1;6
EN-R7S-8W-BF;1;10
EN-R7S-8W-BN;1;2
EN-ST-5050-5M-E-BF;1;23
EN-ST-5050-5M-E-BN;1;22
EN-STRGB-E;1;10
