Date facturation,Montant HT de la ligne,Id de ligne,"Type de ligne (0=produit, 1=service)",Réf. produit,Libellé produit,
2013-04-09,219.00000000,71,0,,,
2013-04-09,128.00000000,72,0,,,
2012-12-21,2408.40000000,19,0,,,
2012-12-21,482.50000000,20,0,,,
2013-01-14,2363.80000000,24,0,,,
2013-01-14,482.50000000,25,0,,,
2013-02-13,1534.50000000,45,0,,,
2013-02-13,194.37000000,46,0,,,
2012-10-04,1517.00000000,1,0,,,
2012-11-05,1517.00000000,8,0,,,
2012-12-02,1517.00000000,15,0,,,
2013-01-07,1517.00000000,30,0,,,
2013-02-04,1517.00000000,41,0,,,
2013-03-07,1517.00000000,52,0,,,
2013-04-02,1517.00000000,67,0,,,
2013-05-06,1517.00000000,115,0,,,
2013-06-03,1517.00000000,177,0,,,
2013-07-02,1517.00000000,219,0,,,
2013-08-05,1517.00000000,269,0,,,
2013-09-02,1517.00000000,296,0,,,
2013-10-07,1517.00000000,356,0,,,
2013-11-08,1517.00000000,424,0,,,
2013-12-02,1517.00000000,492,0,,,
2014-01-15,1517.00000000,608,0,,,
2014-02-03,1517.00000000,662,0,,,
2012-10-04,1857.00000000,4,0,,,
2012-11-05,1857.00000000,11,0,,,
2012-12-02,1857.00000000,18,0,,,
2013-01-07,1857.00000000,33,0,,,
2013-02-04,1857.00000000,44,0,,,
2013-03-07,1857.00000000,55,0,,,
2013-04-02,1857.00000000,70,0,,,
2013-05-06,1857.00000000,118,0,,,
2013-06-03,1857.00000000,180,0,,,
2013-07-02,1857.00000000,222,0,,,
2013-08-05,1857.00000000,272,0,,,
2013-09-02,1857.00000000,293,0,,,
2013-10-07,1857.00000000,359,0,,,
2013-11-08,1857.00000000,427,0,,,
2013-12-02,1857.00000000,495,0,,,
2014-01-15,1857.00000000,611,0,,,
2014-02-03,1857.00000000,665,0,,,
2012-10-04,1186.00000000,3,0,,,
2012-11-05,1186.00000000,10,0,,,
2012-12-02,1186.00000000,17,0,,,
2013-01-07,1186.00000000,32,0,,,
2013-02-04,1186.00000000,43,0,,,
2013-03-07,1186.00000000,54,0,,,
2013-04-02,1186.00000000,69,0,,,
2013-05-06,1186.00000000,117,0,,,
2013-06-03,1186.00000000,179,0,,,
2013-07-02,1186.00000000,221,0,,,
2013-08-05,1186.00000000,271,0,,,
2013-09-02,1186.00000000,294,0,,,
2013-10-07,1186.00000000,358,0,,,
2013-11-08,1186.00000000,426,0,,,
2013-12-02,1186.00000000,494,0,,,
2014-01-15,1186.00000000,610,0,,,
2014-02-03,1186.00000000,664,0,,,
2012-10-04,570.00000000,2,0,,,
2012-11-05,570.00000000,9,0,,,
2012-12-02,570.00000000,16,0,,,
2013-01-07,570.00000000,31,0,,,
2013-02-04,570.00000000,42,0,,,
2013-03-07,570.00000000,53,0,,,
2013-04-02,570.00000000,68,0,,,
2013-05-06,570.00000000,116,0,,,
2013-06-03,570.00000000,178,0,,,
2013-07-02,570.00000000,220,0,,,
2013-08-05,570.00000000,270,0,,,
2013-09-02,570.00000000,295,0,,,
2013-10-07,570.00000000,357,0,,,
2013-11-08,570.00000000,425,0,,,
2013-12-02,570.00000000,493,0,,,
2014-01-15,570.00000000,609,0,,,
2014-02-03,570.00000000,663,0,,,
2012-10-25,840.00000000,5,0,,,
2012-10-25,224.00000000,6,0,,,
2012-11-28,240.00000000,12,0,,,
2012-11-28,56.00000000,13,0,,,
2013-06-10,234.52000000,184,0,EN-MR16-5W-BN,GU5.3 - 5W - 90°,
2013-06-10,75.00000000,185,0,EN-DR-30W,ALIMENTATION - 30W,
2013-07-01,1254.40000000,214,0,,,
2013-07-01,112.00000000,215,0,,,
2013-07-01,-668.90000000,217,0,,,
2013-01-31,110.00000000,37,0,,,
2013-01-31,88.00000000,38,0,,,
2013-01-31,101.00000000,39,0,,,
2013-01-31,117.00000000,40,0,,,
2013-01-07,149.52000000,35,0,,,
2013-01-22,112.00000000,36,0,,,
2014-01-27,149.60000000,650,0,EN-GU10-5W-BN,GU10 - 5W - 90°,
2013-04-16,31.50000000,74,0,,,
2013-04-16,27.50000000,75,0,,,
2013-04-16,36.00000000,76,0,,,
2013-04-16,152.00000000,77,0,,,
2013-04-16,96.00000000,78,0,,,
2013-04-16,74.00000000,79,0,,,
2013-04-16,64.00000000,80,0,,,
2013-03-06,847.00000000,48,0,EN-DL-20W-BN,DOWNLIGHT - 20W,
2013-03-06,784.00000000,49,0,EN-PA-6060-42W-BN,DALLE LED - 42W,
