Identifiant société,Raison sociale,Adresse,Code postal,Ville,Code pays,Téléphone,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 3,Identifiant professionnel 4,Compte comptable client,Compte comptable fournisseur,Numéro de TVA,Id facture,Réf. facture,Date création facture,Date facturation,Date échéance,Total HT,Total TTC,Total TVA,Facture payée,Statut facture,Note (privée),Note (publique),Id paiement,Montant paiement,Date paiement,Numéro paiement,New line,
9,CLUB BELLECOUR,9 Place Antonin Poncet,69002,LYON,FR,,,,,,90CLUB,,,54,FA1304-0050,2013-04-09 16:49:35,2013-04-09,2013-04-24,432.00000000,516.67000000,84.67000000,0,3,,,,,,,,
10,ALINEA VILLARS,Zone commerciale Auchan Z.A de Montravel,42390,VILLARS,FR,,,,,,90ALINEA,,,17,FA1212-0022,2012-12-06 01:29:35,2012-12-21,2013-01-01,3640.90000000,4354.52000000,713.62000000,1,2,,,31,4354.52000000,2013-03-25 12:00:00,,,
10,ALINEA VILLARS,Zone commerciale Auchan Z.A de Montravel,42390,VILLARS,FR,,,,,,90ALINEA,,,18,FA1301-0023,2012-12-06 01:31:31,2013-01-14,2013-01-14,3596.30000000,4301.17000000,704.87000000,1,2,,,31,4301.17000000,2013-03-25 12:00:00,,,
10,ALINEA VILLARS,Zone commerciale Auchan Z.A de Montravel,42390,VILLARS,FR,,,,,,90ALINEA,,,32,FA1302-0030,2013-02-13 10:39:32,2013-02-13,2013-02-13,2286.87000000,2735.10000000,448.23000000,1,2,,,31,2735.10000000,2013-03-25 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,2,FA1210-0001,2012-10-03 17:25:42,2012-10-04,2012-10-18,1517.00000000,1814.33000000,297.33000000,1,2,,,2,1814.33000000,2012-10-11 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,8,FA1211-0006,2012-11-05 11:36:58,2012-11-05,2012-11-20,1517.00000000,1814.33000000,297.33000000,1,2,,,9,1814.33000000,2012-11-12 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,13,FA1212-0011,2012-12-02 22:37:11,2012-12-02,2012-12-17,1517.00000000,1814.33000000,297.33000000,1,2,,,12,1814.33000000,2012-12-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,20,FA1301-0016,2013-01-07 08:48:44,2013-01-07,2013-01-22,1517.00000000,1814.33000000,297.33000000,1,2,,,16,1814.33000000,2013-01-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,28,FA1302-0026,2013-02-04 14:57:50,2013-02-04,2013-02-19,1517.00000000,1814.33000000,297.33000000,1,2,,,24,1814.33000000,2013-02-13 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,36,FA1303-0033,2013-03-07 16:49:16,2013-03-07,2013-03-22,1517.00000000,1814.33000000,297.33000000,1,2,,,27,1814.33000000,2013-03-13 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,50,FA1304-0046,2013-04-02 09:53:11,2013-04-02,2013-04-17,1517.00000000,1814.33000000,297.33000000,1,2,,,37,1814.33000000,2013-04-12 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,60,FA1305-0055,2013-05-04 19:10:58,2013-05-06,2013-05-21,1517.00000000,1814.33000000,297.33000000,1,2,,,44,1814.33000000,2013-05-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,77,FA1306-0072,2013-06-03 14:59:09,2013-06-03,2013-06-18,1517.00000000,1814.33000000,297.33000000,1,2,,,48,1814.33000000,2013-06-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,99,FA1307-0088,2013-07-02 10:58:51,2013-07-02,2013-07-17,1517.00000000,1814.33000000,297.33000000,1,2,,,58,1814.33000000,2013-07-10 12:00:00,,,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,132,FA1308-0121,2013-08-05 17:44:18,2013-08-05,2013-08-20,1517.00000000,1814.33000000,297.33000000,1,2,,,69,1814.33000000,2013-08-12 12:00:00,,,
