Identifiant entrepôt,Nom court du lieu,Description entrepôt,Lieu entrepôt,Address,Zip,Town,ProductId,Réf.,Type,Libellé,Description,Note,Prix,TVA,OnSell,Durée,Date création,Date modification,Stock,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,156,EN-GU10-BASE,0,DOUILLE GU10,,,1.00000000,0.000,1,,2013-04-25 21:54:07,2015-02-05 14:47:41,3690,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,49,EN-GU10-5W-BF,0,GU10 - 5W - 90°,BLANC FROID,,22.00000000,20.000,1,,2013-03-23 19:14:19,2015-02-05 14:47:40,48,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,24,EN-GU10-5W-BN,0,GU10 - 5W - 90°,BLANC NATUREL,,22.00000000,20.000,1,,2013-03-14 13:50:55,2015-02-05 14:47:41,-20,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,46,EN-GU10-5W-BC,0,GU10 - 5W - 90°,BLANC CHAUD,,22.00000000,20.000,1,,2013-03-23 19:13:22,2014-12-01 15:59:21,86,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,140,EN-STRGB-5050-5M-SE,0,RUBAN LED RGB- 14.4W / M,RGB,,71.40000000,0.000,1,,2013-03-25 18:11:57,2014-06-16 16:56:32,2,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,139,EN-ST60-E-BF,0,RUBAN LED - 14.4W / M,BLANC FROID,,115.00000000,20.000,1,,2013-03-25 18:11:36,2014-09-17 14:39:48,-1,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,36,EN-DR-18W,0,ALIMENTATION - 18W,IP66,,20.00000000,20.000,1,,2013-03-23 19:03:07,2014-09-17 14:41:53,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,37,EN-DR-30W,0,ALIMENTATION - 30W,IP66,,25.00000000,20.000,1,,2013-03-23 19:03:30,2014-09-17 14:41:26,56,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,74,EN-BU-10W-BF,0,AMPOULE BULBE - 10W,BLANC FROID,,23.00000000,0.000,1,,2013-03-23 19:27:52,2014-06-16 16:56:29,48,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,72,EN-BU-10W-BN,0,AMPOULE BULBE - 10W,BLANC NATUREL,,23.00000000,0.000,1,,2013-03-23 19:27:21,2014-11-14 14:39:30,22,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,62,EN-BU-5W-BF,0,AMPOULE BULBE - 5W,BLANC FROID,,18.00000000,0.000,1,,2013-03-23 19:23:41,2014-08-21 17:07:03,55,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,60,EN-BU-5W-BN,0,AMPOULE BULBE - 5W,BLANC NATUREL,,18.00000000,0.000,1,,2013-03-23 19:23:04,2015-02-05 14:47:41,31,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,68,EN-BU-7W-BF,0,AMPOULE BULBE - 7W,BLANC FROID,,20.00000000,0.000,1,,2013-03-23 19:25:59,2014-06-16 16:56:29,41,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,66,EN-BU-7W-BN,0,AMPOULE BULBE - 7W,BLANC NATUREL,,20.00000000,0.000,1,,2013-03-23 19:25:26,2014-11-14 14:39:30,48,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,132,EN-RD-5050-60,0,BARRE LED RIGIDE,1M - SMD5050 60 LEDS,,47.00000000,0.000,1,,2013-03-25 18:00:00,2014-06-30 09:16:18,27,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,48,EN-GU10-COB-5W-BN-D,0,SPOT COB GU10 - 5W,BLANC NATUREL,,0.00000000,0.000,1,,2013-03-23 19:13:59,2014-06-16 16:56:28,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,38,EN-DR-40W,0,ALIMENTATION - 40W,IP66,,35.00000000,20.000,1,,2013-03-23 19:03:46,2014-09-17 14:41:16,48,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,25,EN-DR-9W,0,ALIMENTATION - 9W,,,17.00000000,20.000,1,,2013-03-14 13:52:10,2014-12-16 14:37:04,63,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,23,EN-MR16-5W-BN,0,GU5.3 - 5W - 90°,BLANC NATUREL,,22.00000000,0.000,1,,2013-03-14 13:49:28,2014-12-16 14:37:07,149,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,5,EN-ST-5050-5M-SE-BC,0,RUBAN LED - 14.4W / M,60L/M - SMD 5050 IP65 - COULE SILICONE BLANC CHAUD,,71.40000000,20.000,1,,2013-02-20 21:41:11,2014-01-13 19:22:18,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,157,EN-LUXMETER,0,LUXMETRE,,,113.00000000,0.000,1,,2013-04-26 08:53:37,2014-06-16 16:56:33,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,120,EN-FL-10W-BN,0,PROJECTEUR EXTERIEUR- 10W,BLANC NATUREL,,43.00000000,0.000,1,,2013-03-24 14:54:30,2014-06-16 16:56:31,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,122,EN-FL-20W-BN,0,PROJECTEUR EXTERIEUR- 20W,BLANC NATUREL,,91.00000000,0.000,1,,2013-03-24 14:55:13,2014-06-16 16:56:31,0,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,16,EN-MR16-5W-BC,0,GU5.3 - 5W - 90°,BLANC CHAUD,,22.00000000,0.000,1,,2013-02-26 16:46:15,2014-11-04 16:40:26,188,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,44,EN-MR16-5W-BF,0,GU5.3 - 5W - 90°,BLANC FROID,,22.00000000,0.000,1,,2013-03-23 19:12:40,2014-06-16 16:56:27,26,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,142,EN-AMP-12A,0,AMPLIFICATEUR 12A,,,34.00000000,0.000,1,,2013-03-25 18:18:58,2014-09-02 11:46:58,3,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,141,EN-CTR-TL-12A,0,CONTROLEUR + TELECOMMANDE,,,41.00000000,20.000,1,,2013-03-25 18:18:23,2014-10-31 08:35:25,7,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,76,EN-GB-13W-BC,0,AMPOULE GLOBE - 13W,BLANC CHAUD,,63.00000000,0.000,1,,2013-03-23 19:28:50,2014-06-16 16:56:29,6,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,19,EN-GB-13W-BN,0,AMPOULE GLOBE - 13W,BLANC NATUREL,,63.00000000,0.000,1,,2013-02-28 19:42:41,2014-11-04 16:40:26,7,
1,STOCK-LYON,,,47 RUE JEAN JAURES,42190,CHARLIEU,124,EN-FL-30W-BN,0,PROJECTEUR EXTERIEUR- 30W,BLANC NATUREL,,148.00000000,0.000,1,,2013-03-24 14:55:51,2014-06-16 16:56:31,0,
