Product_prix ID* (pr.fk_product),Base de prix (multi-prix) (pr.price_base_type),PriceLevel (pr.price_level),Prix unitaire HT (multi-prix) (pr.price),Prix unitaire TTC (multi-prix) (pr.price_ttc),Prix minimum unitaire HT (multi-prix) (pr.price_min),Prix minimum unitaire TTC (multi-prix) (pr.price_min_ttc),Taux TVA (multi-prix) (pr.tva_tx),Date création* (pr.date_price)
2,HT,1,143,171.028,57.2,68.4112,19.6,2013-12-06
4,HT,1,280,334.88,112,133.952,19.6,2013-12-06
5,HT,1,71.4,85.3944,28.56,34.15776,19.6,2013-12-06
8,HT,1,18,21.528,7.2,8.6112,19.6,2013-12-06
10,HT,1,21,25.116,8.4,10.0464,19.6,2013-12-06
11,HT,1,20,23.92,8,9.568,19.6,2013-12-06
13,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
16,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
17,HT,1,114,136.344,45.6,54.5376,19.6,2013-12-06
18,HT,1,26.3,31.4548,10.52,12.58192,19.6,2013-12-06
19,HT,1,63,75.348,25.2,30.1392,19.6,2013-12-06
21,HT,1,0,0,0,0,19.6,2013-12-06
22,HT,1,50,59.8,20,23.92,19.6,2013-12-06
23,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
24,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
25,HT,1,17,20.332,6.8,8.1328,19.6,2013-12-06
26,HT,1,64,76.544,25.6,30.6176,19.6,2013-12-06
27,HT,1,84,100.464,33.6,40.1856,19.6,2013-12-06
28,HT,1,42,50.232,16.8,20.0928,19.6,2013-12-06
29,HT,1,42,50.232,16.8,20.0928,19.6,2013-12-06
30,HT,1,84,100.464,33.6,40.1856,19.6,2013-12-06
31,HT,1,64,76.544,25.6,30.6176,19.6,2013-12-06
32,HT,1,41.3,49.3948,16.52,19.75792,19.6,2013-12-06
33,HT,1,26.3,31.4548,10.52,12.58192,19.6,2013-12-06
34,HT,1,30,35.88,12,14.352,19.6,2013-12-06
36,HT,1,20,23.92,8,9.568,19.6,2013-12-06
37,HT,1,25,29.9,10,11.96,19.6,2013-12-06
38,HT,1,35,41.86,14,16.744,19.6,2013-12-06
39,HT,1,50,59.8,20,23.92,19.6,2013-12-06
40,HT,1,65,77.74,26,31.096,19.6,2013-12-06
41,HT,1,85,101.66,34,40.664,19.6,2013-12-06
44,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
46,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
48,HT,1,0,0,0,0,19.6,2013-12-06
49,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
51,HT,1,26.3,31.4548,10.52,12.58192,19.6,2013-12-06
52,HT,1,41.3,49.3948,16.52,19.75792,19.6,2013-12-06
53,HT,1,41.3,49.3948,16.52,19.75792,19.6,2013-12-06
54,HT,1,18,21.528,7.2,8.6112,19.6,2013-12-06
55,HT,1,20,23.92,8,9.568,19.6,2013-12-06
56,HT,1,21,25.116,8.4,10.0464,19.6,2013-12-06
57,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
58,HT,1,18,21.528,7.2,8.6112,19.6,2013-12-06
59,HT,1,21,25.116,8.4,10.0464,19.6,2013-12-06
60,HT,1,18,21.528,7.2,8.6112,19.6,2013-12-06
61,HT,1,21,25.116,8.4,10.0464,19.6,2013-12-06
62,HT,1,18,21.528,7.2,8.6112,19.6,2013-12-06
63,HT,1,21,25.116,8.4,10.0464,19.6,2013-12-06
64,HT,1,20,23.92,8,9.568,19.6,2013-12-06
65,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
66,HT,1,20,23.92,8,9.568,19.6,2013-12-06
67,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
68,HT,1,20,23.92,8,9.568,19.6,2013-12-06
69,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
70,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
71,HT,1,26,31.096,10.4,12.4384,19.6,2013-12-06
72,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
73,HT,1,26,31.096,10.4,12.4384,19.6,2013-12-06
74,HT,1,23,27.508,9.2,11.0032,19.6,2013-12-06
75,HT,1,26,31.096,10.4,12.4384,19.6,2013-12-06
76,HT,1,63,75.348,25.2,30.1392,19.6,2013-12-06
77,HT,1,63,75.348,25.2,30.1392,19.6,2013-12-06
78,HT,1,84,100.464,33.6,40.1856,19.6,2013-12-06
79,HT,1,84,100.464,33.6,40.1856,19.6,2013-12-06
80,HT,1,84,100.464,33.6,40.1856,19.6,2013-12-06
81,HT,1,143,171.028,57.2,68.4112,19.6,2013-12-06
82,HT,1,143,171.028,57.2,68.4112,19.6,2013-12-06
83,HT,1,280,334.88,112,133.952,19.6,2013-12-06
84,HT,1,280,334.88,112,133.952,19.6,2013-12-06
85,HT,1,280,334.88,112,133.952,19.6,2013-12-06
86,HT,1,280,334.88,112,133.952,19.6,2013-12-06
87,HT,1,280,334.88,112,133.952,19.6,2013-12-06
