Produit*_(sp.fk_product);Fournisseur*_(sp.fk_soc);Réf._produit_fournisseur_(sp.ref_fourn);Quantité minimum* (sp.quantity);Taux TVA (sp.tva_tx);Prix quantité min. HT* (sp.price);Prix unitaire HT* (sp.unitprice);Remise par défaut quantité min. (sp.remise_percent)
ZC228_REFLEKTOR;ELKOVO;ZC228_REFLEKTOR;1;20; 57.60 ; 57.60 ;0
ZC228_REFLEKTOR+Dim1-10V;ELKOVO;ZC228_REFLEKTOR+Dim1-10V;1;20; 76.44 ; 76.44 ;0
ZC228_REFLEKTOR+DimDALI;ELKOVO;ZC228_REFLEKTOR+DimDALI;1;20; 81.24 ; 81.24 ;0
ZC228_REFLEKTOR+DimDSI;ELKOVO;ZC228_REFLEKTOR+DimDSI;1;20; 85.72 ; 85.72 ;0
ZC228_REFLEKTOR+NZ;ELKOVO;ZC228_REFLEKTOR+NZ;1;20; 95.60 ; 95.60 ;0
ZC254_REFLEKTOR;ELKOVO;ZC254_REFLEKTOR;1;20; 57.60 ; 57.60 ;0
ZC254_REFLEKTOR+Dim1-10V;ELKOVO;ZC254_REFLEKTOR+Dim1-10V;1;20; 76.44 ; 76.44 ;0
ZC254_REFLEKTOR+DimDALI;ELKOVO;ZC254_REFLEKTOR+DimDALI;1;20; 81.24 ; 81.24 ;0
ZC254_REFLEKTOR+DimDSI;ELKOVO;ZC254_REFLEKTOR+DimDSI;1;20; 85.72 ; 85.72 ;0
ZC254_REFLEKTOR+NZ;ELKOVO;ZC254_REFLEKTOR+NZ;1;20; 95.60 ; 95.60 ;0
ZC235_REFLEKTOR;ELKOVO;ZC235_REFLEKTOR;1;20; 66.24 ; 66.24 ;0
ZC235_REFLEKTOR+Dim1-10V;ELKOVO;ZC235_REFLEKTOR+Dim1-10V;1;20; 85.08 ; 85.08 ;0
ZC235_REFLEKTOR+DimDALI;ELKOVO;ZC235_REFLEKTOR+DimDALI;1;20; 89.88 ; 89.88 ;0
ZC235_REFLEKTOR+DimDSI;ELKOVO;ZC235_REFLEKTOR+DimDSI;1;20; 94.36 ; 94.36 ;0
ZC235_REFLEKTOR+NZ;ELKOVO;ZC235_REFLEKTOR+NZ;1;20; 104.24 ; 104.24 ;0
ZC249_REFLEKTOR;ELKOVO;ZC249_REFLEKTOR;1;20; 66.24 ; 66.24 ;0
ZC249_REFLEKTOR+Dim1-10V;ELKOVO;ZC249_REFLEKTOR+Dim1-10V;1;20; 85.08 ; 85.08 ;0
ZC249_REFLEKTOR+DimDALI;ELKOVO;ZC249_REFLEKTOR+DimDALI;1;20; 89.88 ; 89.88 ;0
ZC249_REFLEKTOR+DimDSI;ELKOVO;ZC249_REFLEKTOR+DimDSI;1;20; 94.36 ; 94.36 ;0
ZC249_REFLEKTOR+NZ;ELKOVO;ZC249_REFLEKTOR+NZ;1;20; 104.24 ; 104.24 ;0
ZC280_REFLEKTOR;ELKOVO;ZC280_REFLEKTOR;1;20; 72.96 ; 72.96 ;0
ZC280_REFLEKTOR+Dim1-10V;ELKOVO;ZC280_REFLEKTOR+Dim1-10V;1;20; 100.04 ; 100.04 ;0
ZC280_REFLEKTOR+DimDALI;ELKOVO;ZC280_REFLEKTOR+DimDALI;1;20; 101.76 ; 101.76 ;0
ZC280_REFLEKTOR+DimDSI;ELKOVO;ZC280_REFLEKTOR+DimDSI;1;20; 102.12 ; 102.12 ;0
ZC280_REFLEKTOR+NZ;ELKOVO;ZC280_REFLEKTOR+NZ;1;20; 110.96 ; 110.96 ;0
ZC428_REFLEKTOR;ELKOVO;ZC428_REFLEKTOR;1;20; 86.32 ; 86.32 ;0
ZC428_REFLEKTOR+Dim1-10V;ELKOVO;ZC428_REFLEKTOR+Dim1-10V;1;20; 124.04 ; 124.04 ;0
ZC428_REFLEKTOR+DimDALI;ELKOVO;ZC428_REFLEKTOR+DimDALI;1;20; 133.64 ; 133.64 ;0
ZC428_REFLEKTOR+DimDSI;ELKOVO;ZC428_REFLEKTOR+DimDSI;1;20; 142.52 ; 142.52 ;0
ZC428_REFLEKTOR+NZ;ELKOVO;ZC428_REFLEKTOR+NZ;1;20; 124.32 ; 124.32 ;0
ZC454_REFLEKTOR;ELKOVO;ZC454_REFLEKTOR;1;20; 86.32 ; 86.32 ;0
ZC454_REFLEKTOR+Dim1-10V;ELKOVO;ZC454_REFLEKTOR+Dim1-10V;1;20; 124.04 ; 124.04 ;0
ZC454_REFLEKTOR+DimDALI;ELKOVO;ZC454_REFLEKTOR+DimDALI;1;20; 133.64 ; 133.64 ;0
ZC454_REFLEKTOR+DimDSI;ELKOVO;ZC454_REFLEKTOR+DimDSI;1;20; 142.52 ; 142.52 ;0
ZC454_REFLEKTOR+NZ;ELKOVO;ZC454_REFLEKTOR+NZ;1;20; 124.32 ; 124.32 ;0
ZC435_REFLEKTOR;ELKOVO;ZC435_REFLEKTOR;1;20; 100.80 ; 100.80 ;0
ZC435_REFLEKTOR+Dim1-10V;ELKOVO;ZC435_REFLEKTOR+Dim1-10V;1;20; 138.52 ; 138.52 ;0
ZC435_REFLEKTOR+DimDALI;ELKOVO;ZC435_REFLEKTOR+DimDALI;1;20; 148.12 ; 148.12 ;0
ZC435_REFLEKTOR+DimDSI;ELKOVO;ZC435_REFLEKTOR+DimDSI;1;20; 157.04 ; 157.04 ;0
ZC435_REFLEKTOR+NZ;ELKOVO;ZC435_REFLEKTOR+NZ;1;20; 138.80 ; 138.80 ;0
ZC449_REFLEKTOR;ELKOVO;ZC449_REFLEKTOR;1;20; 100.80 ; 100.80 ;0
ZC449_REFLEKTOR+Dim1-10V;ELKOVO;ZC449_REFLEKTOR+Dim1-10V;1;20; 138.52 ; 138.52 ;0
ZC449_REFLEKTOR+DimDALI;ELKOVO;ZC449_REFLEKTOR+DimDALI;1;20; 148.12 ; 148.12 ;0
ZC449_REFLEKTOR+DimDSI;ELKOVO;ZC449_REFLEKTOR+DimDSI;1;20; 157.04 ; 157.04 ;0
ZC449_REFLEKTOR+NZ;ELKOVO;ZC449_REFLEKTOR+NZ;1;20; 138.80 ; 138.80 ;0
ZC480_REFLEKTOR;ELKOVO;ZC480_REFLEKTOR;1;20; 114.24 ; 114.24 ;0
ZC480_REFLEKTOR+Dim1-10V;ELKOVO;ZC480_REFLEKTOR+Dim1-10V;1;20; 168.40 ; 168.40 ;0
ZC480_REFLEKTOR+DimDALI;ELKOVO;ZC480_REFLEKTOR+DimDALI;1;20; 171.84 ; 171.84 ;0
ZC480_REFLEKTOR+DimDSI;ELKOVO;ZC480_REFLEKTOR+DimDSI;1;20; 172.52 ; 172.52 ;0
ZC480_REFLEKTOR+NZ;ELKOVO;ZC480_REFLEKTOR+NZ;1;20; 152.24 ; 152.24 ;0
ZC228_REFLEKTOR-NARROW;ELKOVO;ZC228_REFLEKTOR-NARROW;1;20; 62.48 ; 62.48 ;0
ZC228_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC228_REFLEKTOR-NARROW+Dim1-10V;1;20; 81.32 ; 81.32 ;0
ZC228_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC228_REFLEKTOR-NARROW+DimDALI;1;20; 86.12 ; 86.12 ;0
ZC228_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC228_REFLEKTOR-NARROW+DimDSI;1;20; 90.60 ; 90.60 ;0
ZC228_REFLEKTOR-NARROW+NZ;ELKOVO;ZC228_REFLEKTOR-NARROW+NZ;1;20; 100.48 ; 100.48 ;0
ZC254_REFLEKTOR-NARROW;ELKOVO;ZC254_REFLEKTOR-NARROW;1;20; 62.48 ; 62.48 ;0
ZC254_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC254_REFLEKTOR-NARROW+Dim1-10V;1;20; 81.32 ; 81.32 ;0
ZC254_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC254_REFLEKTOR-NARROW+DimDALI;1;20; 86.12 ; 86.12 ;0
ZC254_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC254_REFLEKTOR-NARROW+DimDSI;1;20; 90.60 ; 90.60 ;0
ZC254_REFLEKTOR-NARROW+NZ;ELKOVO;ZC254_REFLEKTOR-NARROW+NZ;1;20; 100.48 ; 100.48 ;0
ZC235_REFLEKTOR-NARROW;ELKOVO;ZC235_REFLEKTOR-NARROW;1;20; 72.96 ; 72.96 ;0
ZC235_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC235_REFLEKTOR-NARROW+Dim1-10V;1;20; 91.80 ; 91.80 ;0
ZC235_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC235_REFLEKTOR-NARROW+DimDALI;1;20; 96.60 ; 96.60 ;0
ZC235_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC235_REFLEKTOR-NARROW+DimDSI;1;20; 101.08 ; 101.08 ;0
ZC235_REFLEKTOR-NARROW+NZ;ELKOVO;ZC235_REFLEKTOR-NARROW+NZ;1;20; 110.96 ; 110.96 ;0
ZC249_REFLEKTOR-NARROW;ELKOVO;ZC249_REFLEKTOR-NARROW;1;20; 72.96 ; 72.96 ;0
ZC249_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC249_REFLEKTOR-NARROW+Dim1-10V;1;20; 91.80 ; 91.80 ;0
ZC249_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC249_REFLEKTOR-NARROW+DimDALI;1;20; 96.60 ; 96.60 ;0
ZC249_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC249_REFLEKTOR-NARROW+DimDSI;1;20; 101.08 ; 101.08 ;0
ZC249_REFLEKTOR-NARROW+NZ;ELKOVO;ZC249_REFLEKTOR-NARROW+NZ;1;20; 110.96 ; 110.96 ;0
ZC280_REFLEKTOR-NARROW;ELKOVO;ZC280_REFLEKTOR-NARROW;1;20; 79.68 ; 79.68 ;0
ZC280_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC280_REFLEKTOR-NARROW+Dim1-10V;1;20; 106.76 ; 106.76 ;0
ZC280_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC280_REFLEKTOR-NARROW+DimDALI;1;20; 108.48 ; 108.48 ;0
ZC280_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC280_REFLEKTOR-NARROW+DimDSI;1;20; 108.84 ; 108.84 ;0
ZC280_REFLEKTOR-NARROW+NZ;ELKOVO;ZC280_REFLEKTOR-NARROW+NZ;1;20; 117.68 ; 117.68 ;0
ZC428_REFLEKTOR-NARROW;ELKOVO;ZC428_REFLEKTOR-NARROW;1;20; 96.08 ; 96.08 ;0
ZC428_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC428_REFLEKTOR-NARROW+Dim1-10V;1;20; 133.80 ; 133.80 ;0
ZC428_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC428_REFLEKTOR-NARROW+DimDALI;1;20; 143.40 ; 143.40 ;0
ZC428_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC428_REFLEKTOR-NARROW+DimDSI;1;20; 152.28 ; 152.28 ;0
ZC428_REFLEKTOR-NARROW+NZ;ELKOVO;ZC428_REFLEKTOR-NARROW+NZ;1;20; 134.08 ; 134.08 ;0
ZC454_REFLEKTOR-NARROW;ELKOVO;ZC454_REFLEKTOR-NARROW;1;20; 96.08 ; 96.08 ;0
