Référence;ref four;fournisseur;qte;prix achat
100072;100072;BLM;100;19.8
100074;100074;BLM;50;54.18
100075;100075;BLM;100;19.8
100079;100079;BLM;1;14.04
100092;100092;BLM;50;9.9
100094;100094;BLM;50;56.38
100095;100095;BLM;50;9.9
100099;100099;BLM;1;14.89
100112;100112;BLM;50;11.28
100114;100114;BLM;50;81.13
100115;100115;BLM;50;11.28
100119;100119;BLM;1;15.32
100122;100122;BLM;100;19.8
100124;100124;BLM;50;58.58
100125;100125;BLM;100;19.8
100129;100129;BLM;1;13.62
100132;100132;BLM;50;12.93
100134;100134;BLM;50;82.23
100135;100135;BLM;50;12.93
100139;100139;BLM;1;17.87
100162;100162;BLM;50;9.9
100164;100164;BLM;50;58.58
100169;100169;BLM;1;11.92
100172;100172;BLM;50;13.75
100174;100174;BLM;25;50.74
100175;100175;BLM;50;13.75
100179;100179;BLM;1;21.27
100182;100182;BLM;50;11.28
100185;100185;BLM;50;11.28
100202;100202;BLM;50;12.93
100204;100204;BLM;50;85.8
100205;100205;BLM;50;12.93
100209;100209;BLM;1;12.76
100212;100212;BLM;25;9.9
100214;100214;BLM;25;77.83
100215;100215;BLM;25;9.9
100219;100219;BLM;1;32.33
100222;100222;BLM;50;13.75
100225;100225;BLM;50;13.75
100252;100252;BLM;25;9.9
100254;100254;BLM;25;52.94
100255;100255;BLM;25;9.9
100259;100259;BLM;1;17.87
100264;100264;BLM;25;68.48
100292;100292;BLM;20;16.61
100294;100294;BLM;20;93.72
100295;100295;BLM;20;16.61
100299;100299;BLM;1;32.33
100322;100322;BLM;20;16.61
100324;100324;BLM;25;80.03
100325;100325;BLM;20;16.61
100329;100329;BLM;1;28.93
100334;100334;BLM;25;124.17
100362;100362;BLM;10;27.67
100364;100364;BLM;15;101.31
100365;100365;BLM;10;27.67
100369;100369;BLM;1;76.56
100402;100402;BLM;10;27.67
100404;100404;BLM;20;144.43
100405;100405;BLM;10;27.67
100409;100409;BLM;1;65.5
100414;100414;BLM;20;133.76
100422;100422;BLM;10;35.42
100424;100424;BLM;5;69.85
100425;100425;BLM;10;35.42
100429;100429;BLM;1;157.37
100482;100482;BLM;10;48.29
100484;100484;BLM;5;157.74
100485;100485;BLM;10;48.29
100489;100489;BLM;1;174.38
100502;100502;BLM;10;35.42
100504;100504;BLM;5;69.85
100505;100505;BLM;10;35.42
100509;100509;BLM;1;127.6
100524;100524;BLM;5;64.68
100632;100632;BLM;10;48.29
100634;100634;BLM;5;157.74
100635;100635;BLM;10;48.29
100639;100639;BLM;1;170.13
100654;100654;BLM;5;167.48
101074;101074;BLM;50;117.43
101094;101094;BLM;50;108.35
101114;101114;BLM;50;144.38
101124;101124;BLM;50;108.35
101134;101134;BLM;50;144.38
101164;101164;BLM;50;103.13
101174;101174;BLM;25;99.14
101204;101204;BLM;50;130.9
101214;101214;BLM;25;146.58
101254;101254;BLM;25;92.4
101294;101294;BLM;20;333.52
101324;101324;BLM;25;140.94
101364;101364;BLM;15;310.95
101404;101404;BLM;20;315.48
101424;101424;BLM;5;126.2
101484;101484;BLM;5;292.91
101504;101504;BLM;5;94.66
101634;101634;BLM;5;254.63
102014;102014;BLM;1;52.61
102072;102072;BLM;100;5.5
102074;102074;BLM;100;12.65
102075;102075;BLM;50;2.75
102079;102079;BLM;1;1.6
102092;102092;BLM;50;2.75
102094;102094;BLM;100;12.65
102095;102095;BLM;50;2.75
102099;102099;BLM;1;2.11
102104;102104;BLM;1;2.56
102112;102112;BLM;50;2.75
102114;102114;BLM;100;12.65
102115;102115;BLM;50;2.75
102119;102119;BLM;1;2.35
102122;102122;BLM;50;3.03
102124;102124;BLM;100;13.2
102125;102125;BLM;50;3.3
102129;102129;BLM;1;2.63
102132;102132;BLM;50;2.75
102134;102134;BLM;100;13.2
102135;102135;BLM;50;2.75
102139;102139;BLM;1;2.82
102144;102144;BLM;1;0.77
102154;102154;BLM;1;3
102162;102162;BLM;50;3.3
102164;102164;BLM;100;15.95
102165;102165;BLM;50;3.3
102169;102169;BLM;1;3.59
102172;102172;BLM;50;3.3
102174;102174;BLM;100;15.4
102175;102175;BLM;50;3.3
102179;102179;BLM;1;3.28
102184;102184;BLM;1;3.51
102202;102202;BLM;50;3.3
102204;102204;BLM;100;20.9
102205;102205;BLM;50;3.3
102209;102209;BLM;1;3.67
102212;102212;BLM;25;1.79
102214;102214;BLM;100;22.55
102215;102215;BLM;25;1.79
102219;102219;BLM;1;3.94
102224;102224;BLM;1;5.74
102252;102252;BLM;50;3.85
102254;102254;BLM;100;31.35
102255;102255;BLM;50;3.85
102259;102259;BLM;1;4.03
102284;102284;BLM;1;8.79
102292;102292;BLM;20;2.42
102294;102294;BLM;50;24.48
102295;102295;BLM;20;2.42
102299;102299;BLM;1;14.04
102304;102304;BLM;1;11.79
102322;102322;BLM;25;2.89
102324;102324;BLM;100;51.7
102325;102325;BLM;25;2.89
102329;102329;BLM;1;6.51
102344;102344;BLM;1;0.96
102362;102362;BLM;10;2.2
102364;102364;BLM;25;21.04
102365;102365;BLM;10;2.2
102369;102369;BLM;1;20.12
102384;102384;BLM;1;0.77
102402;102402;BLM;10;2.42
102404;102404;BLM;50;35.2
102405;102405;BLM;10;2.42
102409;102409;BLM;1;14.51
102414;102414;BLM;1;49.67
102422;102422;BLM;5;1.49
102424;102424;BLM;25;52.53
102425;102425;BLM;5;1.49
102429;102429;BLM;1;26.21
102482;102482;BLM;10;4.4
102484;102484;BLM;25;52.53
102485;102485;BLM;5;2.2
102489;102489;BLM;1;29.95
102502;102502;BLM;10;3.91
102504;102504;BLM;50;107.53
102505;102505;BLM;10;3.91
102509;102509;BLM;1;25.08
102514;102514;BLM;1;13.06
102614;102614;BLM;1;16.77
102632;102632;BLM;5;2.4
102634;102634;BLM;10;42.08
102635;102635;BLM;5;2.4
102639;102639;BLM;1;44.92
102754;102754;BLM;1;15.47
102814;102814;BLM;1;34.12
102904;102904;BLM;1;25.05
103074;103074;BLM;100;25.85
103094;103094;BLM;100;19.8
103114;103114;BLM;100;22
103124;103124;BLM;100;25.3
103134;103134;BLM;100;24.75
103164;103164;BLM;100;30.8
103174;103174;BLM;100;25.85
103204;103204;BLM;100;46.75
103214;103214;BLM;100;31.9
103254;103254;BLM;100;60.5
103294;103294;BLM;50;29.7
103324;103324;BLM;100;89.1
103364;103364;BLM;25;29.7
103404;103404;BLM;50;109.18
103424;103424;BLM;25;44.55
103484;103484;BLM;25;54.87
103504;103504;BLM;50;202.4
103634;103634;BLM;10;63.2
104072;104072;BLM;50;5.78
104074;104074;BLM;50;11.83
104075;104075;BLM;50;5.78
104092;104092;BLM;50;4.4
104094;104094;BLM;50;15.4
104095;104095;BLM;50;4.4
104112;104112;BLM;50;4.68
104114;104114;BLM;50;21.73
104115;104115;BLM;50;4.68
104122;104122;BLM;50;3.58
104124;104124;BLM;50;17.33
104125;104125;BLM;50;3.58
104132;104132;BLM;50;4.95
104134;104134;BLM;50;22.55
104135;104135;BLM;50;4.95
104162;104162;BLM;50;5.5
104164;104164;BLM;50;18.98
104165;104165;BLM;50;5.5
104172;104172;BLM;50;5.78
104174;104174;BLM;25;13.75
104175;104175;BLM;50;5.78
104202;104202;BLM;50;6.05
104204;104204;BLM;50;26.4
104205;104205;BLM;50;6.05
104212;104212;BLM;25;3.58
104214;104214;BLM;20;18.92
104215;104215;BLM;25;3.58
104252;104252;BLM;50;6.6
104254;104254;BLM;20;14.63
104255;104255;BLM;50;6.6
104292;104292;BLM;20;5.72
104294;104294;BLM;15;24.34
104295;104295;BLM;20;5.72
104322;104322;BLM;20;4.29
104324;104324;BLM;15;20.96
104325;104325;BLM;20;4.29
104362;104362;BLM;5;1.74
104364;104364;BLM;10;37.9
104365;104365;BLM;5;1.74
104402;104402;BLM;10;4.84
104404;104404;BLM;10;24.37
104405;104405;BLM;10;4.84
104422;104422;BLM;1;1.43
