Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
100072;PE Polyamide Lamelle gris Pg   7 (3-6,5 mm);1;;0.36;20;;;;;
100074;PE Nickele Lamelle Pg  7 (3-6,5mm);1;;1.97;20;;;;;
100075;PE Polyamide Lamelle noir Pg   7 (3-6,5 mm);1;;0.36;20;;;;;
100079;PE inox Lamelle Pg  7 (3-6,5mm);1;;25.52;20;;;;;
100092;PE Polyamide Lamelle gris Pg   9 (4-8 mm);1;;0.36;20;;;;;
100094;PE Nickele Lamelle Pg  9 (4-8mm);1;;2.05;20;;;;;
100095;PE Polyamide Lamelle noir Pg   9 (4-8 mm);1;;0.36;20;;;;;
100099;PE inox Lamelle Pg  9 (4-8mm);1;;27.07;20;;;;;
100112;PE Polyamide Lamelle gris Pg  11 (5-10 mm);1;;0.41;20;;;;;
100114;PE Nickele Lamelle Pg 11 (5-10mm);1;;2.95;20;;;;;
100115;PE Polyamide Lamelle noir Pg  11 (5-10 mm);1;;0.41;20;;;;;
100119;PE inox Lamelle Pg 11 (5-10mm);1;;27.84;20;;;;;
100122;PE Polyamide Lamelle gris ISO 12 (3-6,5 mm);1;;0.36;20;;;;;
100124;PE Nickele Lamelle ISO 12 (3-6,5 mm);1;;2.13;20;;;;;
100125;PE Polyamide Lamelle noir ISO 12 (3-6,5 mm);1;;0.36;20;;;;;
100129;PE inox Lamelle ISO 12 (3-6,5mm);1;;24.75;20;;;;;
100132;PE Polyamide Lamelle gris Pg  13 (6-12 mm);1;;0.47;20;;;;;
100134;PE Nickele Lamelle Pg 13 (6-12mm);1;;2.99;20;;;;;
100135;PE Polyamide Lamelle noir Pg  13 (6-12 mm);1;;0.47;20;;;;;
100139;PE inox Lamelle Pg 13 (6-12mm);1;;32.48;20;;;;;
100162;PE Polyamide Lamelle gris ISO 16 (4-8 mm);1;;0.36;20;;;;;
100164;PE Nickele Lamelle ISO 16 (4-8mm);1;;2.13;20;;;;;
100169;PE inox Lamelle ISO 16 (4-8mm);1;;21.66;20;;;;;
100172;PE Polyamide Lamelle gris Pg  16 (10-14 mm);1;;0.50;20;;;;;
100174;PE Nickele Lamelle Pg 16 (10-14mm);1;;3.69;20;;;;;
100175;PE Polyamide Lamelle noir Pg  16 (10-14 mm);1;;0.50;20;;;;;
100179;PE inox Lamelle Pg 16 (10-14mm);1;;38.67;20;;;;;
100182;PE Polyamide Lamelle gris ISO 16bis (5-10 mm);1;;0.41;20;;;;;
100185;PE Polyamide Lamelle noir ISO 16bis (5-10 mm);1;;0.41;20;;;;;
100202;PE Polyamide Lamelle gris ISO 20 (6-12 mm);1;;0.47;20;;;;;
100204;PE Nickele Lamelle ISO 20 (6-12mm);1;;3.12;20;;;;;
100205;PE Polyamide Lamelle noir ISO 20 (6-12 mm);1;;0.47;20;;;;;
100209;PE inox Lamelle ISO 20 (6-12mm);1;;23.20;20;;;;;
100212;PE Polyamide Lamelle gris Pg  21 (13-18 mm);1;;0.72;20;;;;;
100214;PE Nickele Lamelle Pg 21 (13-18mm);1;;5.66;20;;;;;
100215;PE Polyamide Lamelle noir Pg  21 (13-18 mm);1;;0.72;20;;;;;
100219;PE inox Lamelle Pg 21 (13-18mm);1;;58.77;20;;;;;
100222;PE Polyamide Lamelle gris ISO 20bis (10-14 mm);1;;0.50;20;;;;;
100225;PE Polyamide Lamelle noir ISO 20bis (10-14 mm);1;;0.50;20;;;;;
100252;PE Polyamide Lamelle gris ISO 25 (13-18 mm);1;;0.72;20;;;;;
100254;PE Nickele Lamelle ISO 25 (10-14mm);1;;3.85;20;;;;;
100255;PE Polyamide Lamelle noir ISO 25 (13-18 mm);1;;0.72;20;;;;;
100259;PE inox Lamelle ISO 25 (10-14mm);1;;32.48;20;;;;;
100264;PE Nickele Lamelle ISO 25 (12-18mm);1;;4.98;20;;;;;
100292;PE Polyamide Lamelle gris Pg  29 (18-25 mm);1;;1.51;20;;;;;
100294;PE Nickele Lamelle Pg 29 (18-25mm);1;;8.52;20;;;;;
100295;PE Polyamide Lamelle noir Pg  29 (18-25 mm);1;;1.51;20;;;;;
100299;PE inox Lamelle Pg 29 (18-25mm);1;;58.77;20;;;;;
100322;PE Polyamide Lamelle gris ISO 32 (18-25 mm);1;;1.51;20;;;;;
100324;PE Nickele Lamelle ISO 32 (13-18mm);1;;5.82;20;;;;;
100325;PE Polyamide Lamelle noir ISO 32 (18-25 mm);1;;1.51;20;;;;;
100329;PE inox Lamelle ISO 32 (13-18mm);1;;52.59;20;;;;;
100334;PE Nickele Lamelle ISO 32 (17-24mm);1;;9.03;20;;;;;
100362;PE Polyamide Lamelle gris Pg  36 (22-32 mm);1;;5.03;20;;;;;
100364;PE Nickele Lamelle Pg 36 (22-32 mm);1;;12.28;20;;;;;
100365;PE Polyamide Lamelle noir Pg  36 (22-32 mm);1;;5.03;20;;;;;
100369;PE inox Lamelle Pg 36 (22-32mm);1;;139.19;20;;;;;
100402;PE Polyamide Lamelle gris ISO 40 (22-32 mm);1;;5.03;20;;;;;
100404;PE Nickele Lamelle ISO 40 (18-25mm);1;;13.13;20;;;;;
100405;PE Polyamide Lamelle noir ISO 40 (22-32 mm);1;;5.03;20;;;;;
100409;PE inox Lamelle ISO 40 (18-25mm);1;;119.09;20;;;;;
100414;PE Nickele Lamelle ISO 40 (22-32mm);1;;12.16;20;;;;;
100422;PE Polyamide Lamelle gris Pg  42 (30-38 mm);1;;6.44;20;;;;;
100424;PE Nickele Lamelle Pg 42 (30-38 mm);1;;25.40;20;;;;;
100425;PE Polyamide Lamelle noir Pg  42 (30-38 mm);1;;6.44;20;;;;;
100429;PE inox Lamelle Pg 42 (30-38mm);1;;286.12;20;;;;;
