Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC228/REFLEKTOR;T5;1;T5 - 215 x 1195 x 86; 57.60 ; 20.00 ;;;;;
ZC228/REFLEKTOR+Dim1-10V;T5;1;T5 - 215 x 1195 x 86; 76.44 ; 20.00 ;;;;;
ZC228/REFLEKTOR+DimDALI;T5;1;T5 - 215 x 1195 x 86; 81.24 ; 20.00 ;;;;;
ZC228/REFLEKTOR+DimDSI;T5;1;T5 - 215 x 1195 x 86; 85.72 ; 20.00 ;;;;;
ZC228/REFLEKTOR+NZ;T5;1;T5 - 215 x 1195 x 86; 95.60 ; 20.00 ;;;;;
ZC254/REFLEKTOR;T5;1;T5 - 215 x 1195 x 86; 57.60 ; 20.00 ;;;;;
ZC254/REFLEKTOR+Dim1-10V;T5;1;T5 - 215 x 1195 x 86; 76.44 ; 20.00 ;;;;;
ZC254/REFLEKTOR+DimDALI;T5;1;T5 - 215 x 1195 x 86; 81.24 ; 20.00 ;;;;;
ZC254/REFLEKTOR+DimDSI;T5;1;T5 - 215 x 1195 x 86; 85.72 ; 20.00 ;;;;;
ZC254/REFLEKTOR+NZ;T5;1;T5 - 215 x 1195 x 86; 95.60 ; 20.00 ;;;;;
ZC235/REFLEKTOR;T5;1;T5 - 215 x 1495 x 86; 66.24 ; 20.00 ;;;;;
ZC235/REFLEKTOR+Dim1-10V;T5;1;T5 - 215 x 1495 x 86; 85.08 ; 20.00 ;;;;;
ZC235/REFLEKTOR+DimDALI;T5;1;T5 - 215 x 1495 x 86; 89.88 ; 20.00 ;;;;;
ZC235/REFLEKTOR+DimDSI;T5;1;T5 - 215 x 1495 x 86; 94.36 ; 20.00 ;;;;;
ZC235/REFLEKTOR+NZ;T5;1;T5 - 215 x 1495 x 86; 104.24 ; 20.00 ;;;;;
ZC249/REFLEKTOR;T5;1;T5 - 215 x 1495 x 86; 66.24 ; 20.00 ;;;;;
ZC249/REFLEKTOR+Dim1-10V;T5;1;T5 - 215 x 1495 x 86; 85.08 ; 20.00 ;;;;;
ZC249/REFLEKTOR+DimDALI;T5;1;T5 - 215 x 1495 x 86; 89.88 ; 20.00 ;;;;;
ZC249/REFLEKTOR+DimDSI;T5;1;T5 - 215 x 1495 x 86; 94.36 ; 20.00 ;;;;;
ZC249/REFLEKTOR+NZ;T5;1;T5 - 215 x 1495 x 86; 104.24 ; 20.00 ;;;;;
ZC280/REFLEKTOR;T5;1;T5 - 215 x 1495 x 86; 72.96 ; 20.00 ;;;;;
ZC280/REFLEKTOR+Dim1-10V;T5;1;T5 - 215 x 1495 x 86; 100.04 ; 20.00 ;;;;;
ZC280/REFLEKTOR+DimDALI;T5;1;T5 - 215 x 1495 x 86; 101.76 ; 20.00 ;;;;;
ZC280/REFLEKTOR+DimDSI;T5;1;T5 - 215 x 1495 x 86; 102.12 ; 20.00 ;;;;;
ZC280/REFLEKTOR+NZ;T5;1;T5 - 215 x 1495 x 86; 110.96 ; 20.00 ;;;;;
ZC428/REFLEKTOR;T5;1;T5 - 415 x 1195 x 86 ; 86.32 ; 20.00 ;;;;;
ZC428/REFLEKTOR+Dim1-10V;T5;1;T5 - 415 x 1195 x 86 ; 124.04 ; 20.00 ;;;;;
ZC428/REFLEKTOR+DimDALI;T5;1;T5 - 415 x 1195 x 86 ; 133.64 ; 20.00 ;;;;;
ZC428/REFLEKTOR+DimDSI;T5;1;T5 - 415 x 1195 x 86 ; 142.52 ; 20.00 ;;;;;
ZC428/REFLEKTOR+NZ;T5;1;T5 - 415 x 1195 x 86 ; 124.32 ; 20.00 ;;;;;
ZC454/REFLEKTOR;T5;1;T5 - 415 x 1195 x 86; 86.32 ; 20.00 ;;;;;
ZC454/REFLEKTOR+Dim1-10V;T5;1;T5 - 415 x 1195 x 86; 124.04 ; 20.00 ;;;;;
ZC454/REFLEKTOR+DimDALI;T5;1;T5 - 415 x 1195 x 86; 133.64 ; 20.00 ;;;;;
ZC454/REFLEKTOR+DimDSI;T5;1;T5 - 415 x 1195 x 86; 142.52 ; 20.00 ;;;;;
ZC454/REFLEKTOR+NZ;T5;1;T5 - 415 x 1195 x 86; 124.32 ; 20.00 ;;;;;
ZC435/REFLEKTOR;T5;1;T5 - 415 x 1495 x 86; 100.80 ; 20.00 ;;;;;
ZC435/REFLEKTOR+Dim1-10V;T5;1;T5 - 415 x 1495 x 86; 138.52 ; 20.00 ;;;;;
ZC435/REFLEKTOR+DimDALI;T5;1;T5 - 415 x 1495 x 86; 148.12 ; 20.00 ;;;;;
ZC435/REFLEKTOR+DimDSI;T5;1;T5 - 415 x 1495 x 86; 157.04 ; 20.00 ;;;;;
ZC435/REFLEKTOR+NZ;T5;1;T5 - 415 x 1495 x 86; 138.80 ; 20.00 ;;;;;
ZC449/REFLEKTOR;T5;1;T5 - 415 x 1495 x 86; 100.80 ; 20.00 ;;;;;
ZC449/REFLEKTOR+Dim1-10V;T5;1;T5 - 415 x 1495 x 86; 138.52 ; 20.00 ;;;;;
ZC449/REFLEKTOR+DimDALI;T5;1;T5 - 415 x 1495 x 86; 148.12 ; 20.00 ;;;;;
ZC449/REFLEKTOR+DimDSI;T5;1;T5 - 415 x 1495 x 86; 157.04 ; 20.00 ;;;;;
ZC449/REFLEKTOR+NZ;T5;1;T5 - 415 x 1495 x 86; 138.80 ; 20.00 ;;;;;
ZC480/REFLEKTOR;T5;1;T5 - 415 x 1495 x 86; 114.24 ; 20.00 ;;;;;
ZC480/REFLEKTOR+Dim1-10V;T5;1;T5 - 415 x 1495 x 86; 168.40 ; 20.00 ;;;;;
ZC480/REFLEKTOR+DimDALI;T5;1;T5 - 415 x 1495 x 86; 171.84 ; 20.00 ;;;;;
ZC480/REFLEKTOR+DimDSI;T5;1;T5 - 415 x 1495 x 86; 172.52 ; 20.00 ;;;;;
ZC480/REFLEKTOR+NZ;T5;1;T5 - 415 x 1495 x 86; 152.24 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1195 x 107; 62.48 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1195 x 107; 81.32 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1195 x 107; 86.12 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1195 x 107; 90.60 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1195 x 107; 100.48 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1195 x 107; 62.48 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1195 x 107; 81.32 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1195 x 107; 86.12 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 290 x 1195 x 107; 90.60 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW+NZ;T5;1;T5 - 290 x 1195 x 107; 100.48 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW;T5;1;T5 - 290 x 1495 x 107; 72.96 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 290 x 1495 x 107; 91.80 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 290 x 1495 x 107; 96.60 ; 20.00 ;;;;;
