Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
EN-PA-6030-22W-BF;DALLE LED - 22W;;BLANC FROID;;;;;;;
EN-PA-6060-42W-BN;DALLE LED - 42W;;BLANC NATUREL;;;;;;;
EN-FA-3W-BN;AMPOULE FLAMME - 3W;;BLANC NATUREL;;;;;;;
EN-FA-4W-BN;AMPOULE FLAMME - 4W;;BLANC NATUREL;;;;;;;
EN-FA-3W-BN-D;AMPOULE FLAMME - 3W;;BLANC NATUREL DIMMABLE;;;;;;;
EN-FA-4W-BN-D;AMPOULE FLAMME - 4W;;BLANC NATUREL DIMMABLE;;;;;;;
EN-MR16-5W-BC;GU5.3 - 5W - 90°;;BLANC CHAUD;;;;;;;
EN-DL-COB-20W-BN;DOWNLIGHT - 20W;;BLANC NATUREL;;;;;;;
EN-CL-7W-BC;AMPOULE MAIS 360° - 7W;;BLANC CHAUD;;;;;;;
EN-GB-13W-BN;AMPOULE GLOBE - 13W;;BLANC NATUREL;;;;;;;
EN-DL-20W-BN;DOWNLIGHT - 20W;;BLANC NATUREL;;;;;;;
EN-RD-5050-72-BF;BARRE LED RIGIDE;;BLANC FROID;;;;;;;
EN-MR16-5W-BN;GU5.3 - 5W - 90°;;BLANC NATUREL;;;;;;;
EN-GU10-5W-BN;GU10 - 5W - 90°;;BLANC NATUREL;;;;;;;
EN-DR-9W;ALIMENTATION - 9W;;;;;;;;;
EN-T8-120-18W-BN;TUBE T8 - 18W;;BLANC NATUREL;;;;;;;
EN-T8-150-23W-BN;TUBE T8 - 23W;;BLANC NATUREL;;;;;;;
EN-T8-60-9W-BN;TUBE T8 - 9W;;BLANC NATUREL;;;;;;;
EN-T8-60-9W-BF;TUBE T8 - 9W;;BLANC FROID;;;;;;;
EN-T8-150-23W-BF;TUBE T8 - 23W;;BLANC FROID;;;;;;;
EN-T8-120-18W-BF;TUBE T8 - 18W;;BLANC FROID;;;;;;;
EN-CL-12W-BN;AMPOULE MAIS 360° - 12W;;BLANC NATUREL;;;;;;;
EN-CL-7W-BN;AMPOULE MAIS 360° - 7W;;BLANC NATUREL;;;;;;;
EN-PA-FIX-SEC;FiXATION PANNEAU - SECURITE;;CHAINES DE SECURITE;;;;;;;
EN-DR-18W;ALIMENTATION - 18W;;IP66;;;;;;;
EN-DR-30W;ALIMENTATION - 30W;;IP66;;;;;;;
EN-DR-40W;ALIMENTATION - 40W;;IP66;;;;;;;
EN-DR-60W;ALIMENTATION - 60W;;IP66;;;;;;;
EN-DR-100W;ALIMENTATION - 100W;;IP66;;;;;;;
EN-DR-150W;ALIMENTATION - 150W;;IP66;;;;;;;
EN-MR16-5W-BF;GU5.3 - 5W - 90°;;BLANC FROID;;;;;;;
EN-GU10-5W-BC;GU10 - 5W - 90°;;BLANC CHAUD;;;;;;;
EN-GU10-COB-5W-BN-D;SPOT COB GU10 - 5W;;BLANC NATUREL;;;;;;;
EN-GU10-5W-BF;GU10 - 5W - 90°;;BLANC FROID;;;;;;;
EN-CL-7W-BF;AMPOULE MAIS 360° - 7W;;BLANC FROID;;;;;;;
EN-CL-12W-BC;AMPOULE MAIS 360° - 12W;;BLANC CHAUD;;;;;;;
EN-CL-12W-BF;AMPOULE MAIS 360° - 12W;;BLANC FROID;;;;;;;
EN-FA-3W-BC;AMPOULE FLAMME - 3W;;BLANC CHAUD;;;;;;;
EN-FA-3W-BC-D;AMPOULE FLAMME - 3W;;BLANC CHAUD DIMMABLE;;;;;;;
EN-FA-4W-BC;AMPOULE FLAMME - 4W;;BLANC CHAUD;;;;;;;
EN-FA-4W-BC-D;AMPOULE FLAMME - 4W;;BLANC CHAUD DIMMABLE;;;;;;;
EN-BU-5W-BC;AMPOULE BULBE - 5W;;BLANC CHAUD;;;;;;;
EN-BU-5W-BC-D;AMPOULE BULBE - 5W;;BLANC CHAUD DIMMABLE;;;;;;;
EN-BU-5W-BN;AMPOULE BULBE - 5W;;BLANC NATUREL;;;;;;;
EN-BU-5W-BN-D;AMPOULE BULBE - 5W;;BLANC NATUREL DIMMABLE;;;;;;;
EN-BU-5W-BF;AMPOULE BULBE - 5W;;BLANC FROID;;;;;;;
EN-BU-5W-BF-D;AMPOULE BULBE - 5W;;BLANC FROID DIMMABLE;;;;;;;
EN-BU-7W-BC;AMPOULE BULBE - 7W;;BLANC CHAUD;;;;;;;
EN-BU-7W-BC-D;AMPOULE BULBE - 7W;;BLANC CHAUD DIMMABLE;;;;;;;
EN-BU-7W-BN;AMPOULE BULBE - 7W;;BLANC NATUREL;;;;;;;
EN-BU-7W-BN-D;AMPOULE BULBE - 7W;;BLANC NATUREL DIMMABLE;;;;;;;
EN-BU-7W-BF;AMPOULE BULBE - 7W;;BLANC FROID;;;;;;;
EN-BU-7W-BF-D;AMPOULE BULBE - 7W;;BLANC FROID DIMMABLE;;;;;;;
EN-BU-10W-BC;AMPOULE BULBE - 10W;;BLANC CHAUD;;;;;;;
EN-BU-10W-BC-D;AMPOULE BULBE - 10W;;BLANC CHAUD DIMMABLE;;;;;;;
EN-BU-10W-BN;AMPOULE BULBE - 10W;;BLANC NATUREL;;;;;;;
EN-BU-10W-BN-D;AMPOULE BULBE - 10W;;BLANC NATUREL DIMMABLE;;;;;;;
EN-BU-10W-BF;AMPOULE BULBE - 10W;;BLANC FROID;;;;;;;
EN-BU-10W-BF-D;AMPOULE BULBE - 10W;;BLANC FROID DIMMABLE;;;;;;;
EN-GB-13W-BC;AMPOULE GLOBE - 13W;;BLANC CHAUD;;;;;;;
EN-GB-13W-BF;AMPOULE GLOBE - 13W;;BLANC FROID;;;;;;;
EN-PA-3030-10W-BC;DALLE LED - 10W;;BLANC CHAUD;;;;;;;
EN-PA-3030-10W-BN;DALLE LED - 10W;;BLANC NATUREL;;;;;;;
EN-PA-3030-10W-BF;DALLE LED - 10W;;BLANC FROID;;;;;;;
EN-PA-6030-22W-BC;DALLE LED - 22W;;BLANC CHAUD;;;;;;;
EN-PA-6030-22W-BN;DALLE LED - 22W;;BLANC NATUREL;;;;;;;
EN-PA-6060-42W-BC;DALLE LED - 42W;;BLANC CHAUD;;;;;;;
EN-PA-6060-42W-BF;DALLE LED - 42W;;BLANC FROID;;;;;;;
EN-PA-12030-45W-BC;DALLE LED - 45W;;BLANC CHAUD;;;;;;;
EN-PA-12030-45W-BN;DALLE LED - 45W;;BLANC NATUREL;;;;;;;
EN-PA-12030-45W-BF;DALLE LED - 45W;;BLANC FROID;;;;;;;
EN-PA-12060-85W-BC;DALLE LED - 85W;;BLANC CHAUD;;;;;;;
EN-PA-12060-85W-BN;DALLE LED - 85W;;BLANC NATUREL;;;;;;;
EN-PA-12060-85W-BF;DALLE LED - 85W;;BLANC FROID;;;;;;;
EN-DLR-8W-BN;DOWNLIGHT ROTATIF - 8W;;BLANC NATUREL;;;;;;;
EN-DLR-8W-BF;DOWNLIGHT ROTATIF - 8W;;BLANC FROID;;;;;;;
