Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
02010101;LUX 2L G24q-3 26W BLANCO ELECTR.;1;;42,50;20;;;;;8421776023000
02010104;LUX 2L G24q-3 26W NIQUEL MAT ELECTR.;1;;42,50;20;;;;;8421776023017
02010201;LUX 2L G24q-2 18W BLANCO ELECTR.;1;;41,00;20;;;;;8421776023109
02010204;LUX 2L G24q-2 18W NIQUEL MATE ELECTR.;1;;41,00;20;;;;;8421776023116
02010301;LUX 2L G24d-3 26W BLANCO MAGNETICO;1;;36,75;20;;;;;8421776023024
02010304;LUX 2L G24d-3 26W NIQUEL MAT MAGNETICO;1;;36,75;20;;;;;8421776023031
02010401;LUX 2L G24d-2 18W BLANCO MAGNETICO;1;;36,75;20;;;;;8421776023123
02010404;LUX .2L G24d-2 18W NIQUEL MATE MAGNETICO;1;;36,75;20;;;;;8421776023130
02090101;NUSA BLANCO LED 7W 2700K 38°;1;;39,90;20;;;;;8421776072725
02090201;NUSA BLANCO LED 7W 4000K 38°;1;;39,90;20;;;;;8421776072732
03002;AZOR-1 RECTUANGULAR 2X2G11 24W NIQUEL MATE;1;;97,90;20;;;;;8421776100718
03004;AZOR-1 PLAFON RECT. 2 X 2G11 55 W NIQUEL MATE;1;;109,90;20;;;;;8421776100718
03005;AZOR-1 PLAFÓN CUADRADO T9 G10q 32W - T9 G10q 22W;1;;88,40;20;;;;;8421776100718
03006;AZOR-1 PLAFON CUADRADO 3x 2G11 24W NIQUEL MATE;1;;148,50;20;;;;;8421776100718
03007;AZOR-2 PLAFON 2L PL36W NIQUEL MATE Y CROMO;1;;99,80;20;;;;;8421776100718
03008;AZOR-2 PLAFON 2L PL36W MARRON Y CROMO;1;;99,80;20;;;;;8421776100718
03009;AZOR-2 PLAFON 2L PL 55W NIQUEL MATE Y CROMO;1;;118,25;20;;;;;8421776051171
03010;AZOR-2 PLAFON 2L PL 55W MARRON Y CROMO;1;;118,25;20;;;;;8421776139992
03011;AZOR-2 PLAFON 4PL 36W NIQUEL MATE Y CROMO;1;;166,00;20;;;;;8421776140004
03012;AZOR-2 PLAFON 4PL 36W MARRON Y CROMO;1;;166,00;20;;;;;8421776149991
03013;AZOR-2 PLAFON 3L PL 36W NIQUEL MATE Y CROMO;1;;177,00;20;;;;;8421776150003
03014;AZOR-2 PLAFON 3L PL 36W MARRON Y CROMO;1;;177,00;20;;;;;8421776150300
03015;AZOR-2 PLAFON 2 T5 22+32W NIQUEL MATE Y CROMO;1;;88,20;20;;;;;8421776150317
03016;AZOR-2 PLAFON 2 T5 22+32W MARRON Y CROMO;1;;88,20;20;;;;;8421776150331
03020;HALCON-1 PLAFON 2L T5 21W ALUMINIO;1;;115,00;20;;;;;8421776024281
03022;HALCON-1 PLAFON 2L T5 21W BLANCO MATE;1;;115,00;20;;;;;8421776024298
10300;ESFERICA E14 40W ESPEJO;1;;1,80;20;;;;;8421776039193
10301;ESTANDAR E27 60W ESPEJO;1;;1,84;20;;;;;8421776039209
10302;ESTANDAR E27 40W ESPEJO;1;;1,80;20;;;;;8421776065963
10310;CARBONO PEBETERO E27 40W;1;;10,50;20;;;;;8421776051140
10312;CARBONO GLOBO E27 40W;1;;12,80;20;;;;;8421776051164
10314;CARBONO GLOBO E27 60W;1;;15,80;20;;;;;8421776051171
12030;JP78 ALTA EFICIENCIA 240V 70W;1;;3,20;20;;;;;8421776139992
