Référence,Label,En Vente,Description,Prix vente HT,taux TVA,poids,volume,Image,Code douanier,code_barre
02010101,LUX 2L G24q-3 26W BLANC ELECTR.,1,, 42.50 , 20.00 ,,,,,
02010104,LUX  2L G24q-3 26W NICKEL MAT ELECTR.,1,, 42.50 , 20.00 ,,,,,
02010201,LUX  2L G24q-2 18W BLANC ELECTR.,1,, 41.00 , 20.00 ,,,,,
02010204,LUX  2L G24q-2 18W NICKEL MAT ELECTR.,1,, 41.00 , 20.00 ,,,,,
02010301,LUX  2L G24d-3 26W BLANC MAGNETICO,1,, 36.75 , 20.00 ,,,,,
02010304,LUX  2L G24d-3 26W NICKEL MAT MAGNETICO,1,, 36.75 , 20.00 ,,,,,
02010401,LUX  2L G24d-2 18W BLANC MAGNETICO,1,, 36.75 , 20.00 ,,,,,
02010404,LUX .2L G24d-2 18W NICKEL MAT MAGNETICO,1,, 36.75 , 20.00 ,,,,,
03001,DOGOS-2 APPLIQUE FLUORESCENT 1 x T5 13W,1,, 25.70 , 20.00 ,,,,,
03002,AZOR-1 PLAFONNIER RECTANGULAIRE NICKEL MAT 2 x 2G1,1,, 89.60 , 20.00 ,,,,,
03004,AZOR-1 PLAFONNIER RECTANGULAIRE NICKEL MAT 2 x 2G1,1,, 99.71 , 20.00 ,,,,,
03005,AZOR-1 PLAFONNIER CARRÉ NICKEL MAT 1 x T9 G10q 32W,1,, 79.50 , 20.00 ,,,,,
03006,AZOR-1 PLAFONNIER CARRÉ NICKEL MAT 3 x 2G11 24W,1,, 138.04 , 20.00 ,,,,,
03007,AZOR-2 PLAFONNIER NICKEL MAT ET CHROME 2 x 2G11 36,1,, 91.32 , 20.00 ,,,,,
03008,AZOR-2 PLAFONNIER MARRON ET CHROME 2 x 2G11 36W 50,1,, 91.32 , 20.00 ,,,,,
03009,AZOR-2 PLAFONNIER NICKEL MAT ET CHROME 2 x 2G11 55,1,, 108.20 , 20.00 ,,,,,
03010,AZOR-2 PLAFONNIER MARRON ET CHROME 2 x 2G11 55W 50,1,, 108.20 , 20.00 ,,,,,
03011,AZOR-2 PLAFONNIER NICKEL MAT ET CHROME 4 x 2G11 36,1,, 152.80 , 20.00 ,,,,,
03012,AZOR-2 PLAFONNIER MARRON ET CHROME 4 x 2G11 36W 40,1,, 152.80 , 20.00 ,,,,,
03013,AZOR-2 PLAFONNIER NICKEL MAT ET CHROME 3 x 2G11 36,1,, 158.00 , 20.00 ,,,,,
03014,AZOR-2 PLAFONNIER MARRON ET CHROME 3 x 2G11 36W 40,1,, 158.00 , 20.00 ,,,,,
03015,AZOR-2 PLAFONNIER NICKEL MAT ET CHROME 1 x T5 G10q,1,, 80.70 , 20.00 ,,,,,
03016,AZOR-2 PLAFONNIER MARRON ET CHROME 1 x T5 G10q 22W,1,, 80.70 , 20.00 ,,,,,
03020,HALCON-1 PLAFONNIER NICKEL MAT 2 x T5 21W,1,, 105.30 , 20.00 ,,,,,
03021,HALCON-2 PLAFONNIER NICKEL MAT 2 x T5 28W,1,, 154.80 , 20.00 ,,,,,
03022,HALCON-1 PLAFONNIER BLANC MAT 2 x T5 21W,1,, 105.30 , 20.00 ,,,,,
03023,HALCON -2 PLAFONNIER BLANC MAT 2 x T5 28W,1,, 154.80 , 20.00 ,,,,,
10300,FARO AMPOULE SPHÉRIQUE MIRROIR E14 40W 2700K,1,, 1.77 , 20.00 ,,,,,
10301,FARO AMPOULE SPHÉRIQUE MIRROIR E27 60W 2700K,1,, 1.81 , 20.00 ,,,,,
10302,SPHERIQUE E27 40W MIROIR,1,, 1.77 , 20.00 ,,,,,
10310,FARO AMPOULE CARBONE CHAUDRON E27 40W 2000K,1,, 10.31 , 20.00 ,,,,,
10312,FARO AMPOULE CARBONE GLOBE E27 40W 2000K,1,, 12.38 , 20.00 ,,,,,
10314,FARO AMPOULE CARBONE GLOBE E27 60W 2000K,1,, 15.46 , 20.00 ,,,,,
12030,FARO AMPOULE R7s JP78 70W 2900K 1200Lm HAUTE EFFIC,1,, 3.20 , 20.00 ,,,,,
12031,FARO AMPOULE R7s JP78 100W 2900K 1200Lm HAUTE EFFI,1,, 2.55 , 20.00 ,,,,,
12032,FARO AMPOULE R7s JP117 70W 2900K 1200Lm HAUTE EFFI,1,, 3.20 , 20.00 ,,,,,
12033,FARO AMPOULE R7s JP117 100W 2900K 1900Lm HAUTE EFF,1,, 2.55 , 20.00 ,,,,,
12034,FARO AMPOULE R7s JP117 130W 2900K 2500Lm HAUTE EFF,1,, 3.15 , 20.00 ,,,,,
12035,FARO AMPOULE R7s JP117 200W 2900K 4000Lm HAUTE EFF,1,, 3.20 , 20.00 ,,,,,
12036,FARO AMPOULE R7s JP117 330W 2900K 7100Lm HAUTE EFF,1,, 3.58 , 20.00 ,,,,,
12997,FARO AMPOULE JC PIN G4 16W 2800K 300Lm ECOHALOGÈNE,1,, 1.39 , 20.00 ,,,,,
12998,FARO AMPOULE JC PIN GY6.35 40W 2900K 860Lm ECOHALO,1,, 1.39 , 20.00 ,,,,,
12999,FARO AMPOULE JCPIN G4 10W 2800K 120Lm ECOHALOGÈNE,1,, 0.68 , 20.00 ,,,,,
13000,FARO AMPOULE JC PIN G4 20W 2800K 120Lm ECOHALOGÈNE,1,, 0.68 , 20.00 ,,,,,
13003,FARO AMPOULE JC PIN G6.35 50W 3000K 900Lm ECOHALOG,1,, 0.68 , 20.00 ,,,,,
13027,FARO AMPOULE G9 240V 9W 2700K ICECREAM ECONOMIE D´,1,, 9.16 , 20.00 ,,,,,
14029,FARO AMPOULE GU10 11W 2700K ECONOMIE D´ÉNERGIE,1,, 9.10 , 20.00 ,,,,,
14030,FARO AMPOULE GU10 11W 5000K ECONOMIE D´ÉNERGIE,1,, 9.10 , 20.00 ,,,,,
14032,FARO AMPOULE GU10 50W 2800K HALOGÈNE,1,, 2.33 , 20.00 ,,,,,
14037,FARO AMPOULE GU10 75W 2800K HALOGÈNE,1,, 5.05 , 20.00 ,,,,,
14039,GU10 ÉCONOMIE D'ENERGIE 9W 5000K,1,, 6.60 , 20.00 ,,,,,
14040,FARO AMPOULE BL GX53 9W 2700K 280Lm ECONOMIE D´ÉNE,1,, 11.40 , 20.00 ,,,,,
14041,FARO AMPOULE BL GX53 9W 4000K 280Lm ECONOMIE D´ÉNE,1,, 11.40 , 20.00 ,,,,,
14050,FARO AMPOULE R7s 3U 24W 6400K 1600Lm ECONOMIE D´ÉN,1,, 20.18 , 20.00 ,,,,,
14100,FARO AMPOULE GU10 35W 2800K 700Cd 38° ECOHALOGÈNE,1,, 2.33 , 20.00 ,,,,,
