Référence;ref four;fournisseur;qte;prix achat
02010101;02010101;FARO;1; 21.25 
02010104;02010104;FARO;1; 21.25 
02010201;02010201;FARO;1; 20.50 
02010204;02010204;FARO;1; 20.50 
02010301;02010301;FARO;1; 18.38 
02010304;02010304;FARO;1; 18.38 
02010401;02010401;FARO;1; 18.38 
02010404;02010404;FARO;1; 18.38 
03001;03001;FARO;1; 12.85 
03002;03002;FARO;1; 44.80 
03004;03004;FARO;1; 49.86 
03005;03005;FARO;1; 39.75 
03006;03006;FARO;1; 69.03 
03007;03007;FARO;1; 45.66 
03008;03008;FARO;1; 45.66 
03009;03009;FARO;1; 54.10 
03010;03010;FARO;1; 54.10 
03011;03011;FARO;1; 76.40 
03012;03012;FARO;1; 76.40 
03013;03013;FARO;1; 79.00 
03014;03014;FARO;1; 79.00 
03015;03015;FARO;1; 40.36 
03016;03016;FARO;1; 40.36 
03020;03020;FARO;1; 52.65 
03021;03021;FARO;1; 77.40 
03022;03022;FARO;1; 52.65 
03023;03023;FARO;1; 77.40 
10300;10300;FARO;1; 0.89 
10301;10301;FARO;1; 0.91 
10302;10302;FARO;1; 0.89 
10310;10310;FARO;1; 5.16 
10312;10312;FARO;1; 6.19 
10314;10314;FARO;1; 7.74 
12030;12030;FARO;1; 1.60 
12031;12031;FARO;1; 1.28 
12032;12032;FARO;1; 1.60 
12033;12033;FARO;1; 1.28 
12034;12034;FARO;1; 1.58 
12035;12035;FARO;1; 1.60 
12036;12036;FARO;1; 1.79 
12997;12997;FARO;1; 0.70 
12998;12998;FARO;1; 0.70 
12999;12999;FARO;1; 0.35 
13000;13000;FARO;1; 0.35 
13003;13003;FARO;1; 0.35 
13027;13027;FARO;1; 4.58 
14029;14029;FARO;1; 4.55 
14030;14030;FARO;1; 4.55 
14032;14032;FARO;1; 1.17 
14037;14037;FARO;1; 2.53 
14039;14039;FARO;1; 3.30 
14040;14040;FARO;1; 5.70 
14041;14041;FARO;1; 5.70 
14050;14050;FARO;1; 10.09 
14100;14100;FARO;1; 1.17 
14101;14101;FARO;1; 1.22 
14108;14108;FARO;1; 1.22 
14109;14109;FARO;1; 1.17 
14115;14115;FARO;1; 1.22 
14125;14125;FARO;1; 5.20 
14140;14140;FARO;1; 4.95 
14141;14141;FARO;1; 4.95 
14142;14142;FARO;1; 5.48 
14143;14143;FARO;1; 5.48 
14180;14180;FARO;1; 3.40 
14181;14181;FARO;1; 5.46 
14510;14510;FARO;1; 3.30 
14511;14511;FARO;1; 3.30 
14514;14514;FARO;1; 3.30 
14515;14515;FARO;1; 3.30 
15598;15598;FARO;1; 1.16 
15599;15599;FARO;1; 2.07 
15600;15600;FARO;1; 1.35 
15601;15601;FARO;1; 1.53 
15602;15602;FARO;1; 1.11 
15603;15603;FARO;1; 1.11 
15604;15604;FARO;1; 1.16 
15605;15605;FARO;1; 1.16 
15606;15606;FARO;1; 1.16 
15607;15607;FARO;1; 1.11 
15608;15608;FARO;1; 1.11 
15609;15609;FARO;1; 1.11 
15610;15610;FARO;1; 1.35 
15611;15611;FARO;1; 2.17 
15612;15612;FARO;1; 2.17 
15615;15615;FARO;1; 1.06 
15616;15616;FARO;1; 1.04 
15617;15617;FARO;1; 1.04 
15620;15620;FARO;1; 2.25 
15621;15621;FARO;1; 2.25 
15630;15630;FARO;1; 2.27 
15631;15631;FARO;1; 2.27 
15632;15632;FARO;1; 2.27 
15800;15800;FARO;1; 2.10 
15801;15801;FARO;1; 1.81 
15802;15802;FARO;1; 2.79 
15803;15803;FARO;1; 3.06 
15829;15829;FARO;1; 2.64 
15830;15830;FARO;1; 1.29 
15831;15831;FARO;1; 1.56 
15832;15832;FARO;1; 3.22 
15833;15833;FARO;1; 3.66 
15840;15840;FARO;1; 1.29 
15841;15841;FARO;1; 1.56 
15849;15849;FARO;1; 3.20 
15850;15850;FARO;1; 3.55 
15852;15852;FARO;1; 4.13 
15853;15853;FARO;1; 4.13 
15854;15854;FARO;1; 6.45 
15855;15855;FARO;1; 6.45 
15901;15901;FARO;1; 1.33 
15902;15902;FARO;1; 1.40 
15903;15903;FARO;1; 1.76 
15904;15904;FARO;1; 1.98 
15905;15905;FARO;1; 2.32 
15906;15906;FARO;1; 2.32 
15907;15907;FARO;1; 1.98 
15909;15909;FARO;1; 1.98 
15923;15923;FARO;1; 3.87 
15925;15925;FARO;1; 3.87 
15926;15926;FARO;1; 3.98 
16138;16138;FARO;1; 1.88 
16155;16155;FARO;1; 4.90 
16164;16164;FARO;1; 2.87 
16166;16166;FARO;1; 2.58 
16167;16167;FARO;1; 2.79 
16177;16177;FARO;1; 2.48 
16178;16178;FARO;1; 2.79 
16204;16204;FARO;1; 2.48 
16210;16210;FARO;1; 2.56 
16212;16212;FARO;1; 3.88 
16215;16215;FARO;1; 4.03 
16218;16218;FARO;1; 6.96 
16219;16219;FARO;1; 3.05 
16224;16224;FARO;1; 2.35 
16237;16237;FARO;1; 2.63 
16238;16238;FARO;1; 2.63 
16239;16239;FARO;1; 2.58 
16240;16240;FARO;1; 2.58 
16269;16269;FARO;1; 3.05 
16285;16285;FARO;1; 6.38 
16286;16286;FARO;1; 6.50 
16290;16290;FARO;1; 3.15 
16291;16291;FARO;1; 3.15 
16292;16292;FARO;1; 3.25 
16293;16293;FARO;1; 3.36 
16294;16294;FARO;1; 3.25 
16296;16296;FARO;1; 3.36 
16301;16301;FARO;1; 2.56 
16302;16302;FARO;1; 2.56 
16310;16310;FARO;1; 7.70 
16320;16320;FARO;1; 2.38 
16321;16321;FARO;1; 2.38 
16322;16322;FARO;1; 2.48 
16323;16323;FARO;1; 2.48 
16455;16455;FARO;1; 4.90 
16464;16464;FARO;1; 2.87 
