Référence;ref four;fournisseur;qte;prix achat
02010101;02010101;FARO - LOREFAR, S.L.;1; 19.13 
02010104;02010104;FARO - LOREFAR, S.L.;1; 19.13 
02010201;02010201;FARO - LOREFAR, S.L.;1; 18.45 
02010204;02010204;FARO - LOREFAR, S.L.;1; 18.45 
02010301;02010301;FARO - LOREFAR, S.L.;1; 16.54 
02010304;02010304;FARO - LOREFAR, S.L.;1; 16.54 
02010401;02010401;FARO - LOREFAR, S.L.;1; 16.54 
02010404;02010404;FARO - LOREFAR, S.L.;1; 16.54 
03001;03001;FARO - LOREFAR, S.L.;1; 11.57 
03002;03002;FARO - LOREFAR, S.L.;1; 40.32 
03004;03004;FARO - LOREFAR, S.L.;1; 44.87 
03005;03005;FARO - LOREFAR, S.L.;1; 35.78 
03006;03006;FARO - LOREFAR, S.L.;1; 62.12 
03007;03007;FARO - LOREFAR, S.L.;1; 41.09 
03008;03008;FARO - LOREFAR, S.L.;1; 41.09 
03009;03009;FARO - LOREFAR, S.L.;1; 48.69 
03010;03010;FARO - LOREFAR, S.L.;1; 48.69 
03011;03011;FARO - LOREFAR, S.L.;1; 68.76 
03012;03012;FARO - LOREFAR, S.L.;1; 68.76 
03013;03013;FARO - LOREFAR, S.L.;1; 71.10 
03014;03014;FARO - LOREFAR, S.L.;1; 71.10 
03015;03015;FARO - LOREFAR, S.L.;1; 36.32 
03016;03016;FARO - LOREFAR, S.L.;1; 36.32 
03020;03020;FARO - LOREFAR, S.L.;1; 47.39 
03021;03021;FARO - LOREFAR, S.L.;1; 69.66 
03022;03022;FARO - LOREFAR, S.L.;1; 47.39 
03023;03023;FARO - LOREFAR, S.L.;1; 69.66 
10300;10300;FARO - LOREFAR, S.L.;1; 0.80 
10301;10301;FARO - LOREFAR, S.L.;1; 0.82 
10302;10302;FARO - LOREFAR, S.L.;1; 0.80 
10310;10310;FARO - LOREFAR, S.L.;1; 4.64 
10312;10312;FARO - LOREFAR, S.L.;1; 5.57 
10314;10314;FARO - LOREFAR, S.L.;1; 6.96 
12030;12030;FARO - LOREFAR, S.L.;1; 1.44 
12031;12031;FARO - LOREFAR, S.L.;1; 1.15 
12032;12032;FARO - LOREFAR, S.L.;1; 1.44 
12033;12033;FARO - LOREFAR, S.L.;1; 1.15 
12034;12034;FARO - LOREFAR, S.L.;1; 1.42 
12035;12035;FARO - LOREFAR, S.L.;1; 1.44 
12036;12036;FARO - LOREFAR, S.L.;1; 1.61 
12997;12997;FARO - LOREFAR, S.L.;1; 0.63 
12998;12998;FARO - LOREFAR, S.L.;1; 0.63 
