Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
896064;ENCASTRE;1;MODULUS 4x18W VLA / C; 30.00 ; 20.00 ;;;;;
896163;ENCASTRE;1;MODULUS 4x18W VLB / C; 30.00 ; 20.00 ;;;;;
896071;ENCASTRE;1;MODULUS 4x18W PAR / C ; 36.00 ; 20.00 ;;;;;
896101;ENCASTRE;1;MODULUS 4x18W VLA / b.ele.; 42.00 ; 20.00 ;;;;;
896118;ENCASTRE;1;MODULUS 4x18W VLB / b.ele.; 42.00 ; 20.00 ;;;;;
896125;ENCASTRE;1;MODULUS 4x18W PAR / b.ele. ; 47.00 ; 20.00 ;;;;;
892721;ENCASTRE;1;MODULUS 4x18W VLA / kit chantier HR  ; 45.00 ; 20.00 ;;;;;
892721vlb;ENCASTRE;1;MODULUS 4x18W VLB / kit chantier HR  ; 45.00 ; 20.00 ;;;;;
892738;ENCASTRE;1;MODULUS 4x18W PAR / kit chantier HR  ; 51.00 ; 20.00 ;;;;;
894329;ENCASTRE;1;MODULUS 4x18W VLA / kit chantier HR / b.ele.; 55.00 ; 20.00 ;;;;;
894329vlbe;ENCASTRE;1;MODULUS 4x18W VLB / kit chantier HR / b.ele.; 55.00 ; 20.00 ;;;;;
892752;ENCASTRE;1;MODULUS 4x18W PAR / kit chantier HR / b.ele.; 61.00 ; 20.00 ;;;;;
896576;ENCASTRE;1;SENAR-Practic Line 4x18W VLA / C; 27.00 ; 20.00 ;;;;;
896583;ENCASTRE;1;SENAR-Practic Line 4x18W PAR / C; 29.00 ; 20.00 ;;;;;
890192;ENCASTRE;1;SENAR-Practic Line 4x18W VLA / b.ele.; 33.00 ; 20.00 ;;;;;
890437;ENCASTRE;1;SENAR-Practic Line 4x18W PAR / b.ele.; 37.00 ; 20.00 ;;;;;
890765;ENCASTRE;1;SENAR-Practic Line 4x18W VLA / kit chantier (tubes HR); 42.00 ; 20.00 ;;;;;
890741;ENCASTRE;1;SENAR-Practic Line 4x18W PAR / kit chantier (tubes HR); 45.00 ; 20.00 ;;;;;
890710;ENCASTRE;1;SENAR-Practic Line 4x18W VLA / kit chantier / b.ele. (tubes HR); 45.00 ; 20.00 ;;;;;
