Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
124150;MERCURY IP54 9W kvg;1;; 19.00 ; 20.00 ;;;;;
186103;MERCURY IP54 9W evg;1;; 29.00 ; 20.00 ;;;;;
124167;MERCURY IP54 2x9W kvg;1;; 21.00 ; 20.00 ;;;;;
186608;MERCURY IP54 2x9W evg;1;; 30.00 ; 20.00 ;;;;;
124174;MERCURY IP54 1x16W kvg;1;; 22.00 ; 20.00 ;;;;;
898181;MERCURY IP54 1x16W evg;1;; 32.00 ; 20.00 ;;;;;
124181;MERCURY IP54 21W kvg;1;; 23.00 ; 20.00 ;;;;;
898198;MERCURY IP54 21W evg;1;; 34.00 ; 20.00 ;;;;;
186417;MERCURY 1x18W lampe 2D EVG;1;; 30.00 ; 20.00 ;;;;;
191107;QUADRO 1x9W 2G7 230V MAT EVG;1;; 24.00 ; 20.00 ;;;;;
886478;QUADRO 1x9W G23 230V MAT;1;; 17.00 ; 20.00 ;;;;;
191862;QUADRO 2x9W 230V avec crepusculaire sans reglage;1;; 30.00 ; 20.00 ;;;;;
191602;QUADRO 2x9W 2G7 230V MAT EVG;1;; 34.00 ; 20.00 ;;;;;
885914;QUADRO 2x9W G23 230V MAT;1;; 20.00 ; 20.00 ;;;;;
193507;QUADRO LED;1;; 25.00 ; 20.00 ;;;;;
887406;QUADRO MAXI 16W GR10q 230V MAT;1;; 22.00 ; 20.00 ;;;;;
191800;QUADRO MAXI 2x9W 2G7 230V MAT EVG;1;; 35.00 ; 20.00 ;;;;;
887420;QUADRO MAXI 2x9W G23 230V MAT;1;; 20.00 ; 20.00 ;;;;;
885983;SQUARE 28W 230V MAT;1;; 27.00 ; 20.00 ;;;;;
885952;SQUARE 2x9W 230V MAT;1;; 20.00 ; 20.00 ;;;;;
189104;SQUARE 2x9W 230V MAT EVG;1;; 34.00 ; 20.00 ;;;;;
885990;SQUARE 38W 230V MAT;1;; 29.00 ; 20.00 ;;;;;
890598;DISC 21W 230V kvg;1;; 25.00 ; 20.00 ;;;;;
311314;Proxima 2xE27 blanc IP65;1;; 29.00 ; 20.00 ;;;;;
311215;Proxima 2x18W 2G11 blanc VVG IP65;1;; 45.00 ; 20.00 ;;;;;
311239;Proxima 2x18W 2G11 blanc EVG IP65;1;; 53.00 ; 20.00 ;;;;;
311253;Proxima 2x26W G24q-3 blanc EVG IP65;1;; 55.00 ; 20.00 ;;;;;
