Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
896064;MODULUS 4x18W VLA / C;1;; 30.00 ; 20.00 ;;;;;
896163;MODULUS 4x18W VLB / C;1;; 30.00 ; 20.00 ;;;;;
896071;MODULUS 4x18W PAR / C ;1;; 36.00 ; 20.00 ;;;;;
896101;MODULUS 4x18W VLA / b.ele.;1;; 42.00 ; 20.00 ;;;;;
896118;MODULUS 4x18W VLB / b.ele.;1;; 42.00 ; 20.00 ;;;;;
896125;MODULUS 4x18W PAR / b.ele. ;1;; 47.00 ; 20.00 ;;;;;
892721;MODULUS 4x18W VLA / kit chantier HR  ;1;; 45.00 ; 20.00 ;;;;;
892721vlb;MODULUS 4x18W VLB / kit chantier HR  ;1;; 45.00 ; 20.00 ;;;;;
892738;MODULUS 4x18W PAR / kit chantier HR  ;1;; 51.00 ; 20.00 ;;;;;
894329;MODULUS 4x18W VLA / kit chantier HR / b.ele.;1;; 55.00 ; 20.00 ;;;;;
894329vlbe;MODULUS 4x18W VLB / kit chantier HR / b.ele.;1;; 55.00 ; 20.00 ;;;;;
892752;MODULUS 4x18W PAR / kit chantier HR / b.ele.;1;; 61.00 ; 20.00 ;;;;;
896576;SENAR-Practic Line 4x18W VLA / C;1;; 27.00 ; 20.00 ;;;;;
896583;SENAR-Practic Line 4x18W PAR / C;1;; 29.00 ; 20.00 ;;;;;
890192;SENAR-Practic Line 4x18W VLA / b.ele.;1;; 33.00 ; 20.00 ;;;;;
890437;SENAR-Practic Line 4x18W PAR / b.ele.;1;; 37.00 ; 20.00 ;;;;;
890765;SENAR-Practic Line 4x18W VLA / kit chantier (tubes HR);1;; 42.00 ; 20.00 ;;;;;
890741;SENAR-Practic Line 4x18W PAR / kit chantier (tubes HR);1;; 45.00 ; 20.00 ;;;;;
890710;SENAR-Practic Line 4x18W VLA / kit chantier / b.ele. (tubes HR);1;; 45.00 ; 20.00 ;;;;;
890734;SENAR-Practic Line 4x18W PAR / kit chantier / b.ele. (tubes HR);1;; 47.00 ; 20.00 ;;;;;
027000;MODULUS N T5 3x14 (grille PAR);1;; 43.00 ; 20.00 ;;;;;
028007;MODULUS N T5 4x14 (grille PAR);1;; 45.00 ; 20.00 ;;;;;
027024;MODULUS N T5 3x14 (grille PAR) kit chantier;1;; 58.00 ; 20.00 ;;;;;
028021;MODULUS N T5 4x14 (grille PAR) kit chantier;1;; 60.00 ; 20.00 ;;;;;
010507;ARIAN Practic Line 3x14W T5 PAR EVG;1;; 42.00 ; 20.00 ;;;;;
010514;ARIAN Practic Line 4x14W T5 PAR EVG;1;; 42.00 ; 20.00 ;;;;;
010613;ARIAN Practic Line 3x14W T5 PAR EVG/kit chantier (tubes GP);1;; 43.00 ; 20.00 ;;;;;
010699;ARIAN Practic Line 4x14W T5 PAR EVG/kit chantier (tubes GP);1;; 44.00 ; 20.00 ;;;;;
010613/fr;ARIAN Practic Line 3x14W T5 PAR EVG/kit chantier (tubes de marque);1;; 45.00 ; 20.00 ;;;;;
042003;Solute T5 white 4x14W;1;; 48.00 ; 20.00 ;;;;;
042355;Solute T5 white 2x54W;1;; 62.00 ; 20.00 ;;;;;
042300;Solute T5 white 4x24W;1;; 59.00 ; 20.00 ;;;;;
042362;Solute T5-pending white 2x54W;1;; 67.00 ; 20.00 ;;;;;
042379;Solute T5-pending grey 2x54W;1;; 67.00 ; 20.00 ;;;;;
