Référence;ref four;fournisseur;qte;prix achat
1001000200;1001000200;LT COMPANY;1;36.77
1001000170;1001000170;LT COMPANY;1;15.12
1001000050;1001000050;LT COMPANY;1;13.26
1001000230;1001000230;LT COMPANY;1;35.87
1001000190;1001000190;LT COMPANY;1;17.43
1001000060;1001000060;LT COMPANY;1;45.33
1001000070;1001000070;LT COMPANY;1;15.08
1001000310;1001000310;LT COMPANY;1;64.58
1001000120;1001000120;LT COMPANY;1;34.33
1001000250;1001000250;LT COMPANY;1;18.63
1001000220;1001000220;LT COMPANY;1;37.16
1001000210;1001000210;LT COMPANY;1;16.58
1001000240;1001000240;LT COMPANY;1;39.99
1001000180;1001000180;LT COMPANY;1;20.34
1001000090;1001000090;LT COMPANY;1;48.27
1001000100;1001000100;LT COMPANY;1;18.02
1001000130;1001000130;LT COMPANY;1;37.27
1001000320;1001000320;LT COMPANY;1;41.1
1001000280;1001000280;LT COMPANY;1;41.1
1001000270;1001000270;LT COMPANY;1;22.54
1003000050;1003000050;LT COMPANY;1;17.68
1003000060;1003000060;LT COMPANY;1;36.93
1003000040;1003000040;LT COMPANY;1;22.82
1003000080;1003000080;LT COMPANY;1;53.07
1003000070;1003000070;LT COMPANY;1;42.07
1004000050;1004000050;LT COMPANY;1;31.61
1004000060;1004000060;LT COMPANY;1;28.71
1004000180;1004000180;LT COMPANY;1;28.72
1004000210;1004000210;LT COMPANY;1;28.71
1004000230;1004000230;LT COMPANY;1;52.68
1004000070;1004000070;LT COMPANY;1;47.97
1004000080;1004000080;LT COMPANY;1;37.49
1004000220;1004000220;LT COMPANY;1;67.74
1004000150;1004000150;LT COMPANY;1;55.5
1004000110;1004000110;LT COMPANY;1;37.99
1004000200;1004000200;LT COMPANY;1;38
1004000120;1004000120;LT COMPANY;1;68.25
1004000130;1004000130;LT COMPANY;1;39.2
1004000240;1004000240;LT COMPANY;1;57.25
1004000160;1004000160;LT COMPANY;1;57.25
1004000260;1004000260;LT COMPANY;1;86.89
1011000020;1011000020;LT COMPANY;1;17.69
1005000080;1005000080;LT COMPANY;1;20.45
1005000070;1005000070;LT COMPANY;1;50.7
1005000100;1005000100;LT COMPANY;1;39.7
1005000050;1005000050;LT COMPANY;1;27.97
1005000040;1005000040;LT COMPANY;1;58.22
1005000110;1005000110;LT COMPANY;1;47.22
1005000250;1005000250;LT COMPANY;1;20.43
1005000640;1005000640;LT COMPANY;1;50.68
1005000570;1005000570;LT COMPANY;1;39.68
1005000230;1005000230;LT COMPANY;1;27.92
1005000560;1005000560;LT COMPANY;1;58.17
1005000280;1005000280;LT COMPANY;1;47.17
1061000010;1061000010;LT COMPANY;1;21.93
