Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
111001;FGL OUT MR16 ROND, encastré, blanc, max. 35W;1;;39.90   ; 20.00 ;;;;;
111002;FGL OUT MR16 ROND, encastré, chrome, max. 35W;1;;39.90   ; 20.00 ;;;;;
111007;FGL OUT MR16 ROND, encastré, titane, max. 35W;1;;39.90   ; 20.00 ;;;;;
111008;FGL OUT MR16 ROND, encastré, gris argent, max. 35W;1;;39.90   ; 20.00 ;;;;;
111011;OUT 65 encastré, rond, blanc , MR16, max. 35 W;1;;19.90   ; 20.00 ;;;;;
111018;OUT 65 encastré, rond, chrome brossé, MR16, max. 35W;1;;19.90   ; 20.00 ;;;;;
111019;OUT 65 encastré, rond, gris argent, MR16, max. 35W;1;;19.90   ; 20.00 ;;;;;
111021;FGL OUT GU10 encastré, rond, blanc, max. 35W;1;;44.90   ; 20.00 ;;;;;
111022;FGL OUT GU10 encastré, rond, chrome, max. 35W;1;;44.90   ; 20.00 ;;;;;
111024;FGL OUT GU10 encastré, rond, gris argent, max. 35W;1;;44.90   ; 20.00 ;;;;;
111027;FGL OUT GU10 encastré, rond, titane, max. 35W;1;;44.90   ; 20.00 ;;;;;
111051;MR11 SP encastré, rond, blanc, max. 20W;1;;14.90   ; 20.00 ;;;;;
111052;MR11 SP encastré, rond, chrome, max. 20W;1;;16.90   ; 20.00 ;;;;;
111059;MR11 SP encastré, rond, gris argent, max. 20W;1;;14.90   ; 20.00 ;;;;;
111112;TWISTER encastré, carré, chrome, MR16, max. 50W, avec verre satiné;1;;34.90   ; 20.00 ;;;;;
111121;FGL OUT MR16 CARRE encastré, blanc, max. 35W;1;;39.90   ; 20.00 ;;;;;
111122;FGL OUT MR16 CARRE encastré, chrome, max. 35W;1;;39.90   ; 20.00 ;;;;;
111127;FGL OUT MR16 CARRE encastré, titane, max. 35W;1;;39.90   ; 20.00 ;;;;;
111128;FGL OUT MR16 CARRE encastré, gris argent, max. 35W;1;;39.90   ; 20.00 ;;;;;
111131;QUADRASYL D applique extérieure, carré, gris argent, GX53, max. 9W;1;;99.90   ; 20.00 ;;;;;
111141;FGL OUT GU10 CARRE encastré, carré, blanc, max. 35W;1;;44.90   ; 20.00 ;;;;;
111142;FGL OUT GU10 CARRE encastré, carré, chrome, max. 35W;1;;44.90   ; 20.00 ;;;;;
111144;FGL OUT GU10 CARRE encastré, carré, gris argent, max. 35W;1;;44.90   ; 20.00 ;;;;;
111147;FGL OUT GU10 CARRE encastré, carré, titane, max. 35W;1;;44.90   ; 20.00 ;;;;;
111171;PIKA encastré, rond, blanc, MR16, orientable, max. 50W;1;;12.90   ; 20.00 ;;;;;
111172;PIKA encastré, rond, chrome, MR16, orientable, max. 50W;1;;12.90   ; 20.00 ;;;;;
111173;PIKA encastré, rond, doré, MR16, orientable, max. 50W;1;;12.90   ; 20.00 ;;;;;
111179;PIKA encastré, rond, gris argent, MR16, orientable, max. 50W;1;;12.90   ; 20.00 ;;;;;
